video_id	member	reason
tiH7J6GE_uc	aki	外部VTuberコラボ(けんき/小廻/夜よいち)
8VuVf4o2DvI	aki	外部VTuberコラボ(ドリ/ズズ)
uTq3BZbP5tY	aki	GTA5 NEW TOWN Day7(シリーズ続編)
71k4I--PeEY	aki	GTA5 NEW TOWN Day6(シリーズ続編)
znwEi2BnKeA	aki	GTA5 NEW TOWN Day5(シリーズ続編)
wS6WYKx3Jh4	aki	Arkheron 外部VTuberコラボ(しゃるるさん/UGさん)
V70WRh0KBAs	aki	Arkheron 外部VTuberコラボ(しゃるるさん/UGさん)
jP6tD8Pnv44	aki	Arkheron 外部VTuberコラボ(しゃるるさん/UGさん)
8z5Jz9Zx18M	botan	Windrose ぺこちゃんコラボ
N6deX7jjPE8	botan	#獅白杯オフライン振り返り(イベント)
8sP4QUeTYyU	botan	#獅白杯オフライン Day2(イベント)
v4pbZIm9LwA	botan	#獅白杯オフライン Day1(イベント)
LJ4FibmDTVE	fubuki	FFXIV 第1回(シリーズ続編=連続5本中4本除外)
9ZNTdHZF4z4	fubuki	FFXIV 続!続!(シリーズ続編)
CIl2-lTkucE	fubuki	FFXIV 続!(シリーズ続編)
vrAhMZQfL58	fubuki	FFXIV 極マウント周回(シリーズ続編)
iRWZtksK8hA	fubuki	#萌えろ!!ホロ野球(ホロライブ全体イベント)
UTcUiGWWIe4	iroha	#マイクラバーサス 初参戦(ホロライブ全体イベント)
vVPUK9pA1HQ	iroha	ELDENRING DLC 02(続編)
74APAkpKgpQ	iroha	ぽこあポケモン DAY4(シリーズ続編)
mUennWAKpsM	kanade	トモコレ(シリーズ続編、JjsRMyXIoD0を初回として残す)
6W-ZpDF8F_g	kanade	トモコレ(シリーズ続編)
L72BjD9koe0	korone	R.E.P.O. #突発ホロライブ(コラボハッシュタグ)
wV1Wp7BRITE	korone	スーパーマリオギャラクシー2「2」(続編)
36tIBh4eKWc	koyori	トモコレ #ホロ修羅場の島(シリーズ続編、rR-M6KbVr3sを初回として残す)
dzTkDSl0tdg	koyori	トモコレ(シリーズ続編)
RFaMGGRsg9M	koyori	トモコレ(シリーズ続編)
RK80wxdFpFk	koyori	トモコレ(シリーズ続編)
ua8QKKIXT2s	lamy	ねぽらぼコラボ(3D配信)
Ekdsnb2aWY4	lamy	#雪夜月ねねプレゼント(コラボ)
ciEOEVZSY58	lui	DBZ KAKAROT DAIMA編PART2(続編)
kbcR0VW-_Tg	lui	天皇賞 ちは・ポルとコラボ
n6OhEafaWqI	lui	DBZ KAKAROT DAIMA編続き(続編)
inY6G9YeAMs	lui	DBZ KAKAROT BARDOCK続き(続編)
CvN02o9LAXQ	marine	逆凸(凸待ち=外部コラボ)
b3xG6HRqorE	marine	トモコレ(同シリーズ6本中5本除外、4b2bxpVgj64を初回として残す)
d0YtPCKTpLo	marine	トモコレ(シリーズ続編)
fKyCP_zxbtQ	marine	トモコレ(シリーズ続編)
GsQ7m7IMAdQ	marine	トモコレ(シリーズ続編)
n1RxjpCecyk	marine	トモコレ(シリーズ続編)
W1W5WaLU0II	miko	トモコレ地獄ワクワク島(シリーズ続編、8RlaAqLgpukを初回として残す)
JabEhoc1Ek8	miko	トモコレ4日目(シリーズ続編)
nLqDnhEp75Q	miko	#偽フワワオーディション(コラボハッシュタグ)
98TzmWoOgH8	miko	#突発ホロライブ(コラボハッシュタグ)
BFIqj9u9hY8	miko	#緊急マリパ(コラボハッシュタグ)
V-Kc-3odJiw	miko	ぽこあポケモン ストーリークリア(シリーズ続編)
P6JvmErYjVc	mio	#朝ミオGW寝起き逆凸(凸待ちコラボ)
rbsDuOx60rE	mio	トモコレ住人増えた(シリーズ続編)
HIuF4Cr5sI8	mio	マリパ #ホロライブゲーマーズ(コラボ)
V3e8QmPEVPU	nene	トモコレ ねぽらぼ完成(コラボ)
AaYuhOkEo40	nene	トモコレ(シリーズ続編、QlwnZjqCStYを初回として残す)
sFJ20Yucd1Q	nene	NELLマットレス(企業PR)
PgOXnBEQMWw	nene	トモコレ(シリーズ続編)
LIwx6lGRLRs	noel	朝活雑談さんでーまっする(同タイトル3本中2本除外、PqL-XrEFOhUを残す)
6WfPVHlY_QQ	noel	朝活雑談さんでーまっする(同タイトル)
Mxvqf_bYXOE	noel	トモコレ(シリーズ続編)
zYe-etN0am0	noel	ぽこあポケモン(シリーズ続編、UMPC2IW3Dn0を初回として残す)
jKQ42oVcc_c	noel	ぽこあポケモン(シリーズ続編)
nGyhht1rLi8	okayu	#にゃんぐこーん(コラボハッシュタグ)
lTRy_mp5ODI	okayu	#萌えろ!!ホロ野球(ホロライブ全体イベント)
bTU0lA9rbuE	raden	#ヤマザキマリ(外部コラボ)
w4j60RrAJ00	raden	nosh食レポ(企業PR要素強)
p1SCnxtlh5Q	riona	DBZ KAKAROT 天下一武道会(続編、2bYgCr3k3QYを初回として残す)
yy8equ4mud8	riona	DBZ KAKAROT 魔人ブウ(続編)
jDZUYJZvI4Y	riona	DBZ KAKAROT 超つよいセル(続編)
k9zaSWSIjLo	riona	Cursed Companions(同タイトル2本目、5fWFKEhWZgEを残す)
oGciVad2ra0	ririka	ポケモンチャンピオンズ(シリーズ続編、M3sMm88VG3cを初回として残す)
nzmQz7xFHzg	ririka	holoIndie応援大使 INDIE Live Expo DEV_ISプレゼント(コラボ+PR)
DP20B1wUQwc	ririka	都こんぶサワー正直レビュー(企業PR要素強)
mjjSz4f-GFw	roboco	ろぼめろでぃNO22(シリーズ続編、tKGjrJy6Ic8 NO21を初回として残す)
-DCl364Qfws	roboco	ろぼめろでぃNO23(シリーズ続編)
Zcw32fcyips	roboco	#ホロガード(ホロライブ全体イベント)
vek2_IZLRo4	sora	ぽこあポケモン(シリーズ続編、gKKqKGmxHoEを初回として残す)
v_CEA87irZQ	sora	ぽこあポケモン(シリーズ続編)
HVBF2JLFAPQ	sora	ぷちホロの村(同タイトル2本目、TWmREknspMsを残す)
O6LReL-b5ig	su	NELLコイルフトン すうちは(コラボ+PR)
ONsI_HoLa-U	su	#ロケットナウでホロ飯(企業PR)
jp0GitoXMMQ	subaru	#BIG3(コラボ)
G0Ts4ZXqQ5E	subaru	#BIG3 ３Dバラエティ(コラボ)
Oo1oq_tOd6A	towa	PUBG VCC w/Cpt,Mondo,でろーんさん(外部コラボ)
4ZuZKRTRW6s	towa	#ねねねトワワ(コラボハッシュタグ)
CHeYsNBglD8	towa	STREET FIGHTER 6 弟子旅企画第三弾 ももち(続編+外部コラボ)
U4JPIg9oNyo	vivi	R.E.P.O. 先輩についていく(コラボ示唆)
31VxYoKdxnY	vivi	DREAD FLATS 凶寓 続編(続編)
ZpZormuECDc	vivi	くまヴィヴィといっしょ VRChat(コラボ)
J0OSvcnEdZY	vivi	スーパーマリオワールド クリア(続編、NLWhlp3ZQzcを初回として残す)
EgihHV_7KqM	vivi	3Dカラオケ ちはヴィヴィ(コラボ)
HkDmwM1i7Xk	vivi	メンバー限定(参加者バイアス)
c0MLy6bxJMs	watame	クロノ・トリガー 番外編2(シリーズ続編、DQu1OVL7Bfs番外編1を残す)
N1kL0qf_K9A	hajime	チャットリプレイ無し(yt-dlp: no subtitles)
972c2QVi2wE	chihaya	チャットリプレイ無し(yt-dlp: no subtitles)
JjsRMyXIoD0	kanade	チャットリプレイ無し(yt-dlp: no subtitles)
CFFG4yTWePc	vivi	チャットリプレイ無し(yt-dlp: no subtitles)
5TjD197ojPs	niko	#DEV_IS正月リレー(コラボ)
fXEVDHG2dbo	niko	休止告知(特殊配信、本人ファン集中流入)
R7RD_-evcsE	ririka	フリーチャット（リプレイ無し、0人取得）
4FjldVlZwKw	roboco	取得失敗（0人、タイトル取得不全）
FIOIuMA-yC8	botan	エイプリルフール配信（三等分の獅白ぼたん）
2GJR0pqQsGU	kanade	エイプリルフール配信（なんかおかしい）
k0wjlPe6Iwc	nene	エイプリルフール配信（Only englishu）
Y7JmirRm0Js	korone	エイプリルフール配信（鮨ではなく弁当）
S2f61lfPFKE	ririka	りりはじコラボ（莉々華+はじめ、コラボパターン追加漏れ）
c2NL4EnaXj8	suisei	#HoshimaticProject 大人数コラボ企画
