key	count	name
sora	1330000	ときのそら
roboco	1150000	ロボ子さん
azki	1310000	AZKi
suisei	2880000	星街すいせい
miko	2430000	さくらみこ
fubuki	2650000	白上フブキ
matsuri	1570000	夏色まつり
aki	1020000	アキロゼ
ayame	1700000	百鬼あやめ
choco	1110000	癒月ちょこ
subaru	2000000	大空スバル
mio	1340000	大神ミオ
okayu	2120000	猫又おかゆ
korone	2270000	戌神ころね
pekora	2770000	兎田ぺこら
flare	1150000	不知火フレア
noel	2050000	白銀ノエル
marine	4360000	宝鐘マリン
watame	1700000	角巻わため
towa	1570000	常闇トワ
luna	1150000	姫森ルーナ
lamy	1370000	雪花ラミィ
nene	1320000	桃鈴ねね
botan	1570000	獅白ぼたん
polka	1360000	尾丸ポルカ
laplus	1560000	ラプラス・ダークネス
lui	1110000	鷹嶺ルイ
koyori	1350000	博衣こより
iroha	1140000	風真いろは
kanade	804000	音乃瀬奏
ririka	735000	一条莉々華
raden	1240000	儒烏風亭らでん
hajime	1190000	轟はじめ
riona	469000	響咲リオナ
su	675000	水宮枢
chihaya	573000	輪堂千速
vivi	650000	綺々羅々ヴィヴィ
