video_id	upload_date	title	flagged
LZcI2XFAv1Q	20260520	【 #漢義リーグ 】麻雀チーム顔合わせ！w.咲乃もこ/空星きらめ/ロボ子さん【ホロライブ/アキロゼ】	
UMQVsrCAQCY	20260518	3Dすぺしゃる回！今日のテーマ『 #なんか好きなポーズ 』  #アキちょこナイパレ 第36回 ～ホロライブ深夜ラジオ～	
4O-AdkROKSw	20260518	【シリーズ完全初見】新作リトルナイトメアVRを全身3Dでやってみる！ネタバレありw.癒月ちょこ【アキロゼ/ホロライブ】	
mFdgDLkaQjk	20260515	【Minecraft 】赤髪のともプレゼンツ！DoZメンマイクラミニゲームで遊ぶ会！【ホロライブ/アキロゼ】	
h9IZZlHFNkI	20260515	【APEX】SCARZ CUP 新レジェ「アクセル」＆つよつよ2人と二人三脚ペックスできるのか！w.たいださん/こはーく【ホロライブ/アキロゼ】	
dhRh7BuHUbA	20260514	【nosh】ついに広告衣装実装！気になったお弁当の実食＆ランキング！【アキロゼ/ホロライブ】	
L6FFomCgriA	20260511	『 #GWでうれしかったことは？ 』 #アキちょこナイパレ 第35回 ～ホロライブ深夜ラジオ～	
tPDIih-eMSI	20260508	【 #ホロREPO 】突発ゲリラれぽ！w.白上フブキ/夏色まつり/綺々羅々ヴィヴィ/不知火フレア【ホロライブ/アキロゼ】	
tiH7J6GE_uc	20260506	【PUBG】突然の召喚果たしてどうなるのか！？w./けんきさん,小廻こまちゃん,夜よいち【ホロライブ/アキロゼ】	
QOhx69w-X_Q	20260504	『#子供に戻ったらやりたいこと 』 #アキちょこナイパレ 第34回 ～ホロライブ深夜ラジオ～	
LriFEExbkWk	20260427	『#やりたいと思ってる自分磨き  』 #アキちょこナイパレ 第33回 ～ホロライブ深夜ラジオ～	
8VuVf4o2DvI	20260426	【APEX】新モニターでエペやる！w.ドリさん、ズズ【ホロライブ/アキロゼ】	
yWulIk457Dc	20260423	【Arknights: エンドフィールド】アプデ！新キャラ！初見プレイで試す【アキロゼ/ホロライブ】	
h0aEmeCkcCY	20260420	『#彼女彼氏にしたいと思った瞬間  』 #アキちょこナイパレ 第32回 ～ホロライブ深夜ラジオ～	
dI7qlnqHUhw	20260419	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY9【ホロライブ/アキロゼ】	
ve4SC4CON2w	20260418	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY8【ホロライブ/アキロゼ】	
6dImpXf_hTo	20260417	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY7【ホロライブ/アキロゼ】	
gyGgf6c7KHE	20260416	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY6【ホロライブ/アキロゼ】	
jqhAP6GHFyQ	20260415	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY5【ホロライブ/アキロゼ】	
x231bkcNjaw	20260414	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY4【ホロライブ/アキロゼ】	
BPcVixs_rgc	20260413	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY3後半【ホロライブ/アキロゼ】	
XbQVZcWRoxM	20260413	『 #知り合いから友達になる基準 』 #アキちょこナイパレ 第31回 ～ホロライブ深夜ラジオ～	
J-Xo3mYffI0	20260413	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY3前半【ホロライブ/アキロゼ】	
K-v2CnD2Y2s	20260412	【 #DoZ 】ドズル社さんマイクラMMORPG『Doom or Zenith』DAY2【ホロライブ/アキロゼ】	
xmRALwb_CME	20260411	【 #DoZ 】ドズル社さんマイクラMMOで冒険が今日はじまる！『Doom or Zenith』DAY1【ホロライブ/アキロゼ】	
PAQ1ckjUV_8	20260406	『 #自分の性格をひとことでいうと 』 #アキちょこナイパレ 第30回 ～ホロライブ深夜ラジオ～	
rA3aDJygwH4	20260403	【すーぱーゲリラ雑談】ただいま復活！顔面の様子が？？？【ホロライブ/アキロゼ】	
5jMRa9kY49g	20260330	『 #最近後悔したこと』 アキちょこナイトパレット第29回 ～ホロライブ深夜ラジオ～	
-DfboEimaLw	20260323	『 #最近卒業したもの 』 アキちょこナイトパレット第28回 ～ホロライブ深夜ラジオ～	1
moeJrgX8I-s	20260322	【 #ホロ的中バトル 】ホロライブ的中チャレンジバトルDAY2チームで勝ちたい！【ホロライブ/アキロゼ】	
kADU-VikHcY	20260318	【Marathon】3人で新作FPS「Marathon」やってみるよ！w.常闇トワ/ラプラス・ダークネス【ホロライブ/アキロゼ】	
VQDvivMID-Y	20260313	【ホロアース】ホロアースに集合！#アキロゼ生誕祭2026 アンコールライブinホロアース開演！！【ホロライブ/アキロゼ】	1
lNxP-006uK4	20260311	【ホロアース】先行公開エリアツアー！＆アンコールライブ直前降臨祭じゃー！【ホロライブ/アキロゼ】	1
fjEQsteYWl8	20260309	『 #ホワイトデーエピソード 💕』 アキちょこナイトパレット第27回 ～ホロライブ深夜ラジオ～	
5CRosk_4u3E	20260308	【応援枠】#hololivefesEXPO26_DAY3 アキロゼ応援枠＆感想会打ち上げ会場予定地！『STAGE4』✨ChatStream【ホロライブ/アキロゼ】	1
Pkfxd9BXsTo	20260302	『 #誕生日にもらってスゴかったもの  💕』 アキちょこナイトパレット第26回 ～ホロライブ深夜ラジオ～	1
uTq3BZbP5tY	20260228	【GTA5│NEW TOWN】Day7最終日のお散歩【アキロゼ/ホロライブ】	
71k4I--PeEY	20260227	【GTA5│NEW TOWN】Day6ド深夜お散歩【アキロゼ/ホロライブ】	
wS6WYKx3Jh4	20260226	【Arkheron│アーケロン】本番だー！ #SUGARWIN  3人1組の新作バトロワ！しゃるるさん、UGさん【ホロライブ/アキロゼ】	
V70WRh0KBAs	20260225	【Arkheron│アーケロン】明日が本番！3人1組の新作バトロワ！しゃるるさん、UGさん【ホロライブ/アキロゼ】	
znwEi2BnKeA	20260224	【GTA5│NEW TOWN】Day5 終わり際の楽しみ散歩【アキロゼ/ホロライブ】	
jP6tD8Pnv44	20260223	【Arkheron│アーケロン】しゃるるさん、UGさんとのチーム名はSUGARです！3人1組の新作バトロワ【ホロライブ/アキロゼ】	
l9uURZ8M7u4	20260218	【雑談】同時視聴しながら振り返り！アキロゼ生誕祭制作裏話や解説など【ホロライブ/アキロゼ】	
_tBlI-l8WLk	20260217	【 3DLIVE 】#アキロゼ生誕祭2026 ーLife is GAMEー【ホロライブ/アキ・ローゼンタール】	1
Uts3UcAt0nM	20260216	特別回！誕生日カウントダウン！『 #バレンタイン事件簿  💕』 アキちょこナイトパレット第25回 ～ホロライブ深夜ラジオ～	1
0Em0QP38uSA	20260215	【GTA5│NEW TOWN】Day4 本日の 街ブラ散歩【アキロゼ/ホロライブ】	
