video_id	upload_date	title	flagged
cHe1fVaXqEk	20260503	【Cursed Companions】NGワードで仲間が消滅！？！？【百鬼あやめ視点/ホロライブ】	
V1yGuLLbHJo	20260429	【歌枠】まぼろしの歌枠・・？【百鬼あやめ/ホロライブ】	
yXjPu4K1Vkg	20260426	【雑談】遂にあれが来たッ・・・！【百鬼あやめ/ホロライブ】	
e7JvA7J1jNs	20260425	【バイオハザード レクイエム】恐怖の地下編＃4【百鬼あやめ/ホロライブ】	
9QzgnlmSdJY	20260422	【School 666】みんなで協力して生き残れ！？【百鬼あやめ視点/ホロライブ】	
QoOrIeK9Zqo	20260419	【三ツ星ファーム】気になってた三ツ星ファーム実食！！【百鬼あやめ/ホロライブ】	
lVaCdidMYhs	20260407	【バイオハザード レクイエム】臓器探しの旅編 になりそうな予感。＃3【百鬼あやめ/ホロライブ】	
dr2emPsEh5w	20260403	【PUBGモバイル】PUBGモバイルに余が参戦・・・！？【百鬼あやめ/ホロライブ】	
E1DuNe3uIrY	20260331	【バイオハザード レクイエム】ステルスを覚え始めました。＃2【百鬼あやめ/ホロライブ】	
2srqHwe62vE	20260328	【バイオハザード レクイエム】新作のバイオやるぞ・・・！【百鬼あやめ/ホロライブ】	
HWfkOXe3ThY	20260325	【R.E.P.O.】突発R.E.P.O.コラボ！？！？！？！？【百鬼あやめ/ホロライブ】	
lV5pwvzvcO0	20260322	【朝活】とり戻せ健康界隈！まぼろしの朝活【百鬼あやめ/ホロライブ】	
it6ThVMv5BY	20260321	【Bits & Bops】リズム感・・・どこ？【百鬼あやめ/ホロライブ】	
JqaYwRmGKHQ	20260319	【誰かの心霊写真】ちゃんとしゃべって百鬼さん（？）【百鬼あやめ/ホロライブ】	
4tjcBCqoLkE	20260318	【 七つの大罪：Origin 】七つの大罪ゲームきちゃああああああああ【百鬼あやめ/ホロライブ】	
lkNoLMeFPpQ	20260317	【ぽこ あ ポケモン】やっときた解放のチルぽこあ【百鬼あやめ/ホロライブ】	
Oi4HHboBJrw	20260315	【#ホロマリオテニス大会 】勝つぞ勝つぞ勝つぞ勝つぞ勝つぞ勝つぞ勝つぞ【百鬼あやめ/ホロライブ】	
ycX26rZyjTE	20260314	【マリオテニスフィーバー】特訓じゃあああああああああああああああ【百鬼あやめ/ホロライブ】	
U41oC6fXQ2M	20260309	【マリオテニスフィーバー】このゲームってどどどどうやるんですか？汗【百鬼あやめ/ホロライブ】	
n4yLsTkrNg0	20260308	【雑談】Fesお疲れ様でした！振り返り＆感想会【百鬼あやめ/ホロライブ】	1
DqdkBWhDPgg	20260226	【同時視聴】みんなで『七つの大罪』一緒にみる！👀✨【百鬼あやめ/ホロライブ】	
7RG6f33ZOvU	20260214	【新衣装】超超超超かわ余な新衣装お披露目❣👀【百鬼あやめ/ホロライブ】	1
7tomVCWzzx4	20260213	【ホロガード】通しません余ぉぉぉおおおおおおおおお【百鬼あやめ/ホロライブ】	
XFx_tC6mMVY	20260211	【歌枠】お知らせアリ！？な歌枠【百鬼あやめ/ホロライブ】	
hhsGMjt_Ix0	20260208	【雑談】おはなししよ？【百鬼あやめ/ホロライブ】	
pDAeiEJCwI4	20260203	【節分】年に一度の ONIKAWAII恵方巻食べ比べ！💖重大告知もアリ❣【百鬼あやめ/ホロライブ】	
F1DVOOBHaBI	20260107	【謹賀新年】謹賀新年っていつまで使えますか？【百鬼あやめ/ホロライブ】	
-omBoA9QfJ4	20260102	【1/8192】2026年初の運試し！！！【百鬼あやめ/ホロライブ】	
