video_id	upload_date	title	flagged
FtVAo_X_d-8	20260522	【Mini Tokyo 3D】終電と京王線とわたし―。【ホロライブ / AZKi】	
v60QmEvEQqw	20260518	【オフコラボ】#AS_tar ホラゲクリアできるまで告知できません！！！！！ / 悪意 Dread Neighbor【 ホロライブ / AZKi / 星街すいせい】	
BppD4j-7KNA	20260517	【クロノ・トリガー】完全初見！時を超える名作RPG、はじめます―― #4【ホロライブ / AZKi】※ネタバレあり	
p3wJAXQYaHA	20260516	【クロノ・トリガー】完全初見！時を超える名作RPG、はじめます―― #3【ホロライブ / AZKi】※ネタバレあり	
ZlaE59NgPpg	20260515	【クロノ・トリガー】完全初見！時を超える名作RPG、はじめます―― #2【ホロライブ / AZKi】※ネタバレあり	
ngE079hXZTM	20260513	【クロノ・トリガー】完全初見！時を超える名作RPG、はじめます―― #1【ホロライブ / AZKi】※ネタバレあり	
3ri2_FG67uY	20260512	【GeoGuessr】1分ジオゲッサー！京王電鉄の駅をゲス！【ホロライブ / AZKi】	
z3C_URh0gwM	20260511	【重大告知】お待たせしました！100万人記念のアレを発表します！【ホロライブ / AZKi】	1
T08uC1Mx5BY	20260509	【歌枠】うたう！！！！！！！！！！！Singing Stream【ホロライブ / AZKi】	
fmvj6parl1I	20260507	【Cursed Companions】NGワードに怯える協力ホラー！？#ホロコンパニオンズ【ホロライブ / AZKi】	
6rCzQEWqNsc	20260506	【BIOHAZARD RE:3】最終回！完全初見！バイオハザード RE:3 #5【ホロライブ / AZKi】	
r04a_hBwFWU	20260505	【Among Us】今日は無礼講です。ゲス―― #無礼講アモアス 【ホロライブ / AZKi】	
YOKDYhjl_Rs	20260503	【BIOHAZARD RE:3】完全初見！バイオハザード RE:3 #4【ホロライブ / AZKi】	
WjbfqY4dgUo	20260430	【BIOHAZARD RE:3】完全初見！バイオハザード RE:3 #3【ホロライブ / AZKi】	
Z2vOWXi4UdE	20260429	【ぽこ あ ポケモン】深夜のぽこポケ⚡️#11【ホロライブ / AZKi】	
cUwA_2jDP8Y	20260427	【BIOHAZARD RE:3】完全初見！バイオハザード RE:3 #2【ホロライブ / AZKi】	
uMz2LRXL0oE	20260424	【BIOHAZARD RE:3】完全初見！バイオハザード RE:3 #1【ホロライブ / AZKi】	
YmVDsrRW6FI	20260423	【エアウォレット】限定特典＆ピンクのカードも選べるコラボ案件🎵限定描きおろしグッズもプレゼント！【ホロライブ / AZKi】	
byShdGZ-wQw	20260421	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#10【ホロライブ / AZKi】	
NEt2RM1Xp2s	20260418	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#9【ホロライブ / AZKi】	
KUstiA5P9Ao	20260417	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#8【ホロライブ / AZKi】	
hel9NqE89hg	20260415	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#7【ホロライブ / AZKi】	
nsDa5z52IwQ	20260414	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#6【ホロライブ / AZKi】	
euQT3W3Yep4	20260413	【歌枠】月曜の夜にしっとり歌います🌙ピアノ歌枠 Piano Singing Stream【ホロライブ / AZKi】	
vGpfslCTTfU	20260412	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#5【ホロライブ / AZKi】	
vhvz3MHBN-4	20260411	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#4【ホロライブ / AZKi】	
9nNuEZK5q-k	20260409	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#3【ホロライブ / AZKi】	
-gVT18PJlXY	20260408	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️#2【ホロライブ / AZKi】	
L3opGRnlikc	20260407	【ぽこ あ ポケモン】はじめてのぽこポケ⚡️【ホロライブ / AZKi】	
YIdyUierCmU	20260406	【雑談】ホロライブ移籍4周年ありがとう【ホロライブ / AZKi】	1
