video_id	upload_date	title	flagged
sdo7AalWwpo	20260523	フィンランドの湖畔でゆるくて少し騒がしい夏休みを満喫しながらサウナ入るぞ！－Finnish Cottage Simulator【獅白ぼたん/ホロライブ】	
vwgCcmuSdOQ	20260523	【佐渡島初上陸】駅ちかラーメンを食べて船乗り場でもラーメンを食べる！編🍜【#ししろんの47ラーメンツアー2】	
qgrXksnHUpk	20260522	【PUBGモバイル】ぺこちゃんと一緒にドン勝を目指すぞい～！【獅白ぼたん/ホロライブ】	
F-r11SwtdcQ	20260518	【バイオハザード レクイエム】レオンの新モードをプレイ～！－レオンマストダイ / LEON MUST DIE FOREVER⚠️ネタバレ注意【獅白ぼたん/ホロライブ】	
rsAPjv6jRBY	20260517	【デッドライジング3】#04 ゾンビ無双みたび！巨大都市から72時間以内に脱出せよ⚠️ネタバレ注意－Dead Rising 3【獅白ぼたん/ホロライブ】	
BALz7bCc01U	20260516	【デッドライジング3】#03 ゾンビ無双みたび！巨大都市から72時間以内に脱出せよ⚠️ネタバレ注意－Dead Rising 3【獅白ぼたん/ホロライブ】	
QDaqG4FUYAM	20260512	【OW】ひさびさウォッチ！！#ししトワ【獅白ぼたん/ホロライブ】	
P_dZPmuqRVA	20260510	【デッドライジング3】#02 ゾンビ無双みたび！巨大都市から72時間以内に脱出せよ⚠️ネタバレ注意－Dead Rising 3【獅白ぼたん/ホロライブ】	
ShtXdHnkFYg	20260509	【デッドライジング3】#01 ゾンビ無双みたび！巨大都市から72時間以内に脱出せよ⚠️ネタバレ注意－Dead Rising 3【獅白ぼたん/ホロライブ】	
bNse4VN_llU	20260508	【雑談】いろいろ話そ～！企画の話とか最近の話とかも振り返りたいね😋【獅白ぼたん/ホロライブ】	
8z5Jz9Zx18M	20260504	【Windrose / ウィンドローズ】海賊王に俺はなる！ w/ ぺこちゃん－話題の海賊オープンワールドクラフトゲー【獅白ぼたん/ホロライブ】	
Bnw7zqnTfzY	20260502	【バイオハザード レクイエム】4時間以内クリアを目指す！（スピードマスターRTA）⚠️ネタバレ注意【獅白ぼたん/ホロライブ】	
KiCaFpVzfbM	20260430	【お知らせ】GW（ゴールデンウィーク）にやること告知【獅白ぼたん/ホロライブ】	
lud1eBLf5Nc	20260427	【ぷちホロの村】＃03 ラスボスおるか～っ！（副題：高級パンとござるクッキーが名産品の大都会ホロ村より愛をこめて）【獅白ぼたん/ホロライブ】	
p3FNoCHQRrQ	20260426	【ぷちホロの村】＃02 大都会ホロ村の1日がはじまるー ぷちホロの村 - 剣とお店と田舎暮らし【獅白ぼたん/ホロライブ】	
vw_LsBweIRE	20260425	【ぷちホロの村】＃01 ホロメン達と田舎暮らしするぞい！ー ぷちホロの村 - 剣とお店と田舎暮らし【獅白ぼたん/ホロライブ】	
9BloEe4hb6Q	20260419	【PRAGMATA】＃02 月から地球への帰還を目指す冒険、新感覚SFアクション！－プラグマタ（※ネタバレ注意）【獅白ぼたん/ホロライブ】	
6-jlfo7H3zo	20260418	【PRAGMATA】＃01 月から地球への帰還を目指す冒険、新感覚SFアクション！－プラグマタ（※ネタバレ注意）【獅白ぼたん/ホロライブ】	
N6deX7jjPE8	20260413	#獅白杯オフライン お疲れ様でした！振り返り配信✨【獅白ぼたん/ホロライブ】	
8sP4QUeTYyU	20260412	【#獅白杯オフライン / Day2】獅白杯オフライン〜東西対抗戦〜 STREET FIGHTER 6【獅白ぼたん/ホロライブ】	
v4pbZIm9LwA	20260411	【#獅白杯オフライン / Day1】獅白杯4th STREET FIGHTER 6【獅白ぼたん/ホロライブ】	
aUJV5phjhbA	20260409	【スト6】告知もあるﾖ！ #獅白杯オフライン 東西対抗戦✨西軍の顔合わせ～！【獅白ぼたん/ホロライブ】	
e9lGFRF8OqE	20260406	【スト6】#獅白杯オフライン に向けて獅白杯4thトーナメント表発表＆東西対抗戦の概要紹介！【獅白ぼたん/ホロライブ】	
ZxCEn6MMLxs	20260405	【Last Man Sitting】オフィスチェアに乗ってハチャメチャに戦うゲーム【獅白ぼたん/ホロライブ】	
hjda5swaO0o	20260404	【Warframe】まだ忍者なら無料なんですか？（数年ぶりのプレイ）【獅白ぼたん/ホロライブ】	
FIOIuMA-yC8	20260401	【増えた？！】三等分の獅白ぼたん【獅白ぼたん/ホロライブ】	
TLzh2pNkN54	20260329	え！！物理演算でラーメンを？！－Ramen Simulator（DEMO版）【獅白ぼたん/ホロライブ】	
KcVSEELVJ-8	20260328	【R.E.P.O.】観戦モードで2人を見守るのが一番楽しいのでは？ししろは考えた【獅白ぼたん/ホロライブ】	
4EpXfJUL_K8	20260328	【紅の砂漠】超話題作！二刀流に挑戦していく！⚔️【獅白ぼたん/ホロライブ】	
mcw2qC4z_PU	20260327	【ボーダーランズ4】DLCでもヒャッハーするぞい！Borderlands 4【獅白ぼたん/ホロライブ】	
IWJCV7Y8CKg	20260325	【スト6】アレックスを勉強する！  #あきひろ中学校【獅白ぼたん/ホロライブ】	
7gW6rR8q-DE	20260323	【振り返り雑談】獅白杯4th 公募トーナメントお疲れ様でした！【獅白ぼたん/ホロライブ】	
J4S1LpBrf_w	20260322	【#ホロ的中バトル】ホロライブ 的中チャレンジバトルDAY2 ししろんWIN【獅白ぼたん/ホロライブ】	
JJpJUKgNdeI	20260320	【スト6】獅白杯4th 公募トーナメント会場 #獅白杯オフライン【獅白ぼたん/ホロライブ】	
bAOYUI3Nafo	20260319	【ODDCORE】リミナルスペースで敵を倒しまくるローグライクFPS！【獅白ぼたん/ホロライブ】	
