video_id	upload_date	title	flagged
IrAa_2BJDfw	20260524	【競馬/オークス】遂に来た！！！！！！！優駿牝馬！！！！【輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
JFaIdEM9IfU	20260523	【F1同時視聴】カナダGP予選！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
dYU6YZQY87U	20260523	【F1同時視聴】カナダGP！スプリント決勝！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
3hsBXKuQNAw	20260523	【#ホロREPO】REPOでおしゃれできんの！？？！？【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
xgQeOtLL3ag	20260522	【F1同時視聴】カナダGP！スプリント予選！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
zV5qJ8_haCk	20260522	【機動戦士ガンダム0080 ポケットの中の戦争】ポケ戦！！！きょうはクリスマス！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
SFagvN6IQfc	20260521	【Forza Horizon 6】フェスティバル進めますか！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
-y42t7ZfDIY	20260520	【Forza Horizon 6】おかわりドライブしようぜ！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
DVjAeEE8t4M	20260520	【Forza Horizon 6】無免許みこち先輩に日本の走り方を教える！？！？笑【さくらみこ / #輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
o5Okw7V3BnM	20260519	【Forza Horizon 6】日本が舞台！！！！！！ドライブしようぜ！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
7jbL5epspaM	20260519	【ポケモン/リーフグリーン】#9 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
q60ejXSd794	20260518	【Forza Horizon 6】日本が舞台！！！！！！ドライブしようぜ！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
1FDbeEQFQlM	20260516	【機動戦士ガンダム 0083 STARDUST MEMORY】8話から！1年戦争のその後？？？完全初見だ～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Obc7RuIbfxk	20260516	【Forza Horizon 6】日本が舞台！！！！！！ドライブしようぜ！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
sGIxTUH3qho	20260514	【ポケモン/リーフグリーン】#8 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
DivZKL3y4co	20260513	【DARK SOULS III】#6 また火を継ぎにいくぞ！！！！！※ネタバレ禁止【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
5XBQcCR5gBo	20260512	【ポケモン/リーフグリーン】#7 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
972c2QVi2wE	20260510	【歌枠】ゆるっとおしゃべりしながらカラオケ～～～【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
NXXIYc9hr_o	20260508	【機動戦士ガンダム 0083 STARDUST MEMORY】1年戦争のその後？？？完全初見だ～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
syZwNEHinxs	20260507	【ポケモン/リーフグリーン】#6 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
3WyP7trUfMM	20260506	【ガンプラ/カメラあり】ユニコーン！！！！！！つくっていく！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
TWP21gC5HYQ	20260505	【DARK SOULS III】#5 また火を継ぎにいくぞ！！！！！※ネタバレ禁止【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
JHO8eUBTR9M	20260504	【ポケモン/リーフグリーン】#5 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
dBLq2NiK70o	20260503	【F1同時視聴】マイアミGP決勝！！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
aJ_IkMY0Vgs	20260503	【Cursed Companions】NGワード言わないように！？！？！？＃ホロコンパニオンズ　【輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
KVUSNtU3d-0	20260503	【競馬/天皇賞（春）】勝つためにお勉強だ～～！【鷹嶺ルイ/尾丸ポルカ/輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Zzh3_u0QFys	20260502	【F1同時視聴】マイアミGP予選！！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
8dlUlNZeMeI	20260502	【F1® 25】マイアミGP予選まではしる！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
oPrxU8zkeiE	20260502	【F1同時視聴】マイアミGPスプリント決勝！！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
JChlr91SxGc	20260502	【機動戦士ガンダム 第08MS小隊】7話から！完全初見だ！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
HPBPKx3jZVg	20260502	【DARK SOULS III】#4 また火を継ぎにいくぞ！！！！！※ネタバレ禁止【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
9Erl40WqROo	20260501	【F1同時視聴】マイアミGPスプリント予選！！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
GC4_WX6erXU	20260430	【ポケモン/リーフグリーン】#4 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Xchrs1a-99Y	20260427	【首都高バトル】ひさびさに首都高行こうぜ～～～【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
6yldqUgysNE	20260426	【DARK SOULS III】#3 また火を継ぎにいくぞ！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
tZg96ZCCQFc	20260426	【競馬/フローラS＆マイラーズC】今日こそ勝！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
CM5ora5CHVY	20260425	【ポケモン/リーフグリーン】#3 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
vnTs6rJY7q8	20260424	【機動戦士ガンダム 第08MS小隊】完全初見だ！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
6uoDH89gtEA	20260421	【DARK SOULS III】#2 また火を継ぎにいくぞ！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
2drFZHY99xQ	20260419	【ポケモン/リーフグリーン】#2 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
9IoSRRrZN6Y	20260419	【競馬/皐月賞】今日こそ勝！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
HTDbJmNy03U	20260418	【ギター練習】ゆるっとギター練習【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
GfalF8Cx7TM	20260418	【DARK SOULS III】#1 また火を継ぎにいくぞ！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
0Wg2sCE0cBI	20260417	【機動戦士ガンダム THE ORIGIN】初めてのオリジン！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
LH96HKaQ7qo	20260416	【ギター練習】ゆるゆるぎた～～～～【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
7K3Dm1JR0-U	20260415	【ポケモン/リーフグリーン】#1 パラスと一緒に初見ポケモン！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
o8nP6eHTtwE	20260414	【Euro Truck Simulator 2】むごんどらいぶ【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
r5z_ai-UJms	20260413	【ギター練習/雑談】ゆるっとギター練習【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Ltp3FWiCIco	20260410	【機動戦士ガンダム THE ORIGIN】初めてのオリジン！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
-lnP-5Ob8pI	20260408	【雑談/chat】おはなししようよ【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Ek9Uf2ZhZn8	20260407	【DARK SOULS REMASTERED】#10 　絵画世界、そして火を継ぎに　※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
nnq08dQb7H4	20260406	【DARK SOULS REMASTERED】#9 DLCエリア攻略！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
ndixrebfQeQ	20260405	【DARK SOULS REMASTERED】#8 次はどこに行くんだ？！？！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
VbOFsd_yUgI	20260405	【競馬/大阪杯】阪神 芝2000！！！今日こそ勝！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
0NPvlM9vqfo	20260404	【機動戦士ガンダムUC RE:0096】#16から最終回まで！ UCきちゃ〜〜〜！！TV版見ていくぞ！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
1B9eJQ4sygw	20260404	【DARK SOULS REMASTERED】#7 ニトに会いに行くぞ！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
D62jN016rIQ	20260403	【DARK SOULS REMASTERED】#6 アノロンの次って！？？？※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
joKMhpIR70Y	20260401	【歌枠】かわいいうたわくです【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
2Og46Fhc3Wc	20260331	【R.E.P.O.】V1GP青チームでお宝集めする！【歌衣メイカ・鈴木聖弥・天硝路ろまん・輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
E0K3vemMMEE	20260330	【雑談/弾き語り】ほんとうに練習【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
us8487J_jLA	20260329	【F1同時視聴】日本GP決勝！！！！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
1qnyylQ7opI	20260328	【F1同時視聴】日本GP予選 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
WsrmRIeB1lY	20260327	【F1® 25】遂に日本GP！鈴鹿サーキット走る！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
hoAnEim8K4s	20260326	【機動戦士ガンダムUC RE:0096】#11から UCきちゃ〜〜〜！！TV版見ていくぞ！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
bwKdowZKpKo	20260324	【Euro Truck Simulator 2】ひさびさにトラック乗りますよ～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
F3VxuxDO91U	20260322	【機動戦士ガンダムUC RE:0096】#7～ UCきちゃ〜〜〜！！TV版見ていくぞ！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
VfDpe5ashdY	20260321	【雑談/弾き語り】のんびり練習つきあってよ【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
u5irWYT3FhU	20260321	【 ホロライブ 的中チャレンジバトル 】DAY1チーム ラスト～～！当てるぞ～～！ #ホロ的中バトル【輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
I-prYGFrg8M	20260319	【#ホロNEXT】PC免許！？枢ちゃんとPCのお勉強だ～！！！ゲームで実技も！？【水宮枢 輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
c4PqiOjG7A4	20260318	【機動戦士ガンダムUC RE:0096】UCきちゃ〜〜〜！！TV版見ていくぞ！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
mJ4-M27BI8k	20260317	【マリオテニスフィーバー】アカデミー卒業してきました！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
bKrhmMPoI7w	20260315	【#ホロマリオテニス大会】本番！！！爪痕残すぞ！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
_fcFqCQt0Rc	20260315	【マリオテニスフィーバー】直前練習～～～！がんばれ！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
ym7-lD9b9d8	20260315	【競馬/勉強会】金鯱賞の前にお勉強だ！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
TFwsAI1UjJA	20260314	【ASMR/KU100】ホワイトデーだよ♡はじめてのﾄﾞｷﾄﾞｷ（意味深）ASMR【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
SJ_shHpEx8k	20260313	【劇場版Zガンダム同時視聴】劇場版のZガンダムみるぞ～～！3作目！！！ラスト！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
NWx2USEOm3g	20260312	【マリオテニスフィーバー】大会に向けて練習するゾ！！！初めてなんですけど～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
1voEsSu78tw	20260311	【歌枠】深夜のちるわく【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Npp4I-rhSR4	20260308	【7th fes.EXPO】EXPO＆Fes.振り返り感想会！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
lndLHqM80Q0	20260307	【7th fes.EXPO】DAY2 STAGE３ 応援枠【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
bOOn8b_Rcrk	20260306	【雑談/CHAT】DAY2 初めてのFesだぞ！！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】#FG初Fes朝活リレー	1
9MJe79tQi3o	20260306	【雑談/CHAT】EXPO直前～～！どきどきあさかつ【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
ESfJ2-vgif8	20260304	【DARK SOULS REMASTERED】#5 いざアノールロンドへ！！！！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
nJRyfXswQFE	20260302	【ホロタイプ】タイピングミスならまかせてほしい【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Cb6Y-3TctTE	20260301	【競馬/中山記念】さあやってくぞ～～～！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
ST4lPxyOLxQ	20260228	【ラジオ】輪堂千速のニックナイトガレーディオ 番外編【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
l4yS4l5FLSA	20260227	【劇場版Zガンダム同時視聴】劇場版のZガンダムみるぞ～～！2作連続！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
yWRKFJ2m75o	20260227	【雑談/CHAT】とんでもねえことですよ！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Hg4_ybNksfg	20260223	【DRAPOJI Lite】コックピットデビューして首都高バトルする！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	1
3LSmGO29f50	20260223	【DARK SOULS REMASTERED】#4.5 ニコたんを召喚して囮作戦だ！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
zm6lxIXl-m8	20260222	【デヴィエーション・ゲーム】FGでAIにお絵描きバトル挑むぞ！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
xGlw6rIsdlY	20260222	【競馬/フェブラリーS】競馬はじめ！！！！！ダートスタートだ！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
k1mQzmZEpes	20260221	【ハサウェイ同時視聴】ハサウェイみるぞ～～～～～～！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
bTMleqnRdhw	20260220	【逆シャア同時視聴】逆襲のシャアみるぞ～～～～～～～！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
3vGuI0JJsuY	20260217	【ダレカレ】少女の人生を一緒にみにいこう【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
30vu28lcfn0	20260216	【告知】みんなが気になってるアレの告知です！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
mrbblv9PAKk	20260215	【DARK SOULS REMASTERED】#4 山羊頭のデモーンの先にいきたい！！！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
EwcOLsdzpGw	20260214	【雑談/CHAT】バレンタインだし朝からチョコの代わりに元気お届け～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
T_5_QXs3AZ0	20260211	【DARK SOULS REMASTERED】#3 山羊頭のデモーン！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Xh-_QAM9sZ8	20260210	【DARK SOULS REMASTERED】#2 鐘ガゴ倒して次に進む！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
2fEsWqDnFLY	20260209	【#ちはニックの日2026】みんなの推し活教えて！告知あり！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
WUWbMmMhI5s	20260207	【DARK SOULS REMASTERED】#1 大好きなダクソ！はじめるぞ！！！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
Yi_6wI_hCqg	20260205	【朝活雑談/CHAT】おはようだよ～～～～～【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
DLHbIITwg0E	20260204	【雑談/CHAT】お休みからただいま～～～～～！お土産話するど！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】	
