video_id	upload_date	title	flagged
MKlgmUyHB94	20260523	【Freetalk】悪魔の保健医の深夜集会のお時間です⏰【ホロライブ/癒月ちょこ】	
5TtNu2VegKM	20260522	【悪意 Dread Neighbor】あらゆる隙間から、無数の視線が見つめてくる心理ホラーゲーム 【ホロライブ/癒月ちょこ】	
wX0FqRvFh3Q	20260520	【Freetalk】早起き悪魔の朝ちょこ雑談📣 【ホロライブ/癒月ちょこ】	
Z38UPoWlX8o	20260517	【Freetalk】深夜のちょこっと雑談📣 【ホロライブ/癒月ちょこ】	
ooiqTTEnNek	20260515	【Freetalk】深夜にまったり悪魔のゲリラ雑談📣 【ホロライブ/癒月ちょこ】	
MzKo6Nx-72o	20260514	【Freetalk】寝る前のゲリラ雑談のお時間です📣 【ホロライブ/癒月ちょこ】	
o1Q3sQ3nYmc	20260513	【Freetalk】どうも、おはようございます💤 【ホロライブ/癒月ちょこ】	
NigsJ967r0U	20260511	【お披露目】お家３Dお披露目📣配信復活します！ 【ホロライブ/癒月ちょこ】	1
o-YNh1QFhmo	20260405	【Freetalk】深夜のゲリラ雑談📣 【ホロライブ/癒月ちょこ】	
tTb3K7D6pUM	20260327	【DeadbyDaylight】ろぼーこのＰＣハイジャックして深夜のゲリラDBD📣 【ホロライブ/癒月ちょこ】	
HAgeir2UhSE	20260315	【Freetalk】FESや新曲とか色々語りたーーーいっ！【ホロライブ/癒月ちょこ】	1
LxojmvprnbI	20260301	【ホロのスイカ】ロボ子家のっとってスイカ育てる🍉【ホロライブ/癒月ちょこ】	
AXNVM8kJONs	20260216	【Freetalk】癒月ちょこ生誕祭2026振り返り配信🎂 リベンジ【ホロライブ/癒月ちょこ】	
--pm-bK9Uh4	20260215	【Freetalk】癒月ちょこ生誕祭2026振り返り配信🎂 【ホロライブ/癒月ちょこ】	
_1PGuuEP7ps	20260214	【重大告知あり】新３Dお披露目?！癒月ちょこ生誕祭2026🎂 【ホロライブ/癒月ちょこ】	1
9ouTuZhAMC8	20260213	【凸待ち】誕生日カウントダウン配信📣 【ホロライブ/癒月ちょこ】	1
y0BI9cUZ_Hg	20260201	【告知あり！】お姉三姉妹で晩酌配信📣‐バレンタイン編‐ 【ホロライブ/癒月ちょこ/白銀ノエル/雪花ラミィ】	
jQYtkiclKP0	20260131	【Freetalk】深夜にまったり悪魔のゲリラ雑談📣 【ホロライブ/癒月ちょこ】	
L4jzcG97sbg	20260125	【Freetalk】ちょこめいとからのクズエピおかずに食べさせてもらいます📣 【ホロライブ/癒月ちょこ】	
CFaCGcU5lbA	20260122	【the game of sisyphus 】深夜にこそこそもてあそばれたいと思います。２ 【ホロライブ/癒月ちょこ】	
e2uKETzE4nY	20260107	【the game of sisyphus 】深夜にこそこそもてあそばれたいと思います。 【ホロライブ/癒月ちょこ】	
5teXcd7t1R4	20260104	【Freetalk】深夜にまったり悪魔のゲリラ雑談📣 【ホロライブ/癒月ちょこ】	
