video_id	upload_date	title	flagged
krCjDue9l2Y	20260521	【R.E.P.O.】今夜のREPOはここですか【不知火フレア/ホロライブ】	
0OvFzdAbNw8	20260519	【R.E.P.O.】コスメティック探し妖怪です！コスメティックはどこですか！？【不知火フレア/ホロライブ】	
mf1oVanYMIc	20260518	【Super Chat】いつもありがとう！お礼＆ゆる雑談【不知火フレア/ホロライブ】	
81Mo8Xi7r8Q	20260517	【R.E.P.O.】#バカタレサーカス 初のLv20！スーパームーン🌙【不知火フレア/ホロライブ】	
5tZ7ykPTr0M	20260515	【R.E.P.O.】#バカタレサーカス レポ妖怪たちのおと～りだ～【不知火フレア/ホロライブ】	
ZhygyDVmpzc	20260514	【R.E.P.O.】久々の #不知火建設 でコスメティック探し！【不知火フレア/ホロライブ】	
pozpz-dY5k8	20260513	【R.E.P.O.】今夜のRepo会です！今夜も事件の香りがします【不知火フレア/ホロライブ】	
GGQgFY3Yhaw	20260512	【R.E.P.O.】今日のRepo会です！赤コスメはどこですか！？【不知火フレア/ホロライブ】	
WidILsQvDww	20260511	【R.E.P.O.】今日のRepoはどこですか！？ここですか？！【不知火フレア/ホロライブ】	
TRGzcHpOX8M	20260510	【R.E.P.O.】コスメティック探し妖怪です！Repoさせてください【不知火フレア/ホロライブ】	
-FGN9SB3Ooc	20260506	【ぷちホロの村】ホロメンとのスローライフを満喫【不知火フレア/ホロライブ】	
PDScZR8VfLE	20260504	【pop'n music Lively】フレアの曲とか楽曲パックの曲とか遊んでみよう！【不知火フレア/ホロライブ】	
TFLmkoFNVQQ	20260503	【KuloNiku: Bowl Up!】熱血料理人ですよろしくお願いします【不知火フレア/ホロライブ】	
f8cBEAqv_w4	20260502	【SOUND VOLTEX EXCEED GEAR】テスト配信も兼ねて初めてのおうちボルテで遊ぶぞ！🔰【不知火フレア/ホロライブ】	
zxbENZyTy9s	20260501	【ぷちホロの村】ホロメンのスローライフを送れるらしい【不知火フレア/ホロライブ】	
_Pr8U9kG2vY	20260426	【 #不知火フレア生誕祭2026 】先日のBEMANI楽曲３D LIVE！をみんなで振り返ろう～！【不知火フレア/ホロライブ】	
unOVkX7TbAQ	20260425	【退院しました】生誕の次の日に急性虫垂炎で入院したってマジ？【不知火フレア/ホロライブ】	
FgA6hgxJH4I	20260402	【 #不知火フレア生誕祭2026 】BEMANI楽曲３D LIVE！みんなで盛り上がれ！【不知火フレア/ホロライブ】	
1XJ3VAecSS4	20260401	【生誕カウントダウン】明日誕生日です！！祝って下さい!【不知火フレア/ホロライブ】	1
EJSa08CjFRg	20260330	【七つの大罪：Origin】先日遊んだ七大の新作ゲームの続きをやってみるぞー！【不知火フレア/ホロライブ】	
6n6wgLnGVT0	20260329	【紅の砂漠】美麗グラフィックに迫力アクション！槍か斧で挑む！【不知火フレア/ホロライブ】	
pHH1iJwFKvI	20260328	【pop'n music Lively】そろそろ「ポップン」しないと死ぬぜ！【不知火フレア/ホロライブ】	
9wTjvHZLqVw	20260326	【歌枠/重大告知】今年も歌うから何の告知かわからないふりを続けてどうぞ【不知火フレア/ホロライブ】	
faJGYd2siw4	20260325	【七つの大罪：Origin】七大の新作ゲームがリリース！遊ぶぞ！【不知火フレア/ホロライブ】	
_OvmhpNeLWs	20260320	【ぽこあポケモン】ニンフィアに会うぞ会うぞ会うぞ🎀【不知火フレア/ホロライブ】	
5kmty-W6pnU	20260319	#02【 REANIMAL 】リトルナイトメア I & II 開発チーム新作！フレわたで協力プレイ！ 後編【不知火フレア/ホロライブ】	
eHSn01lzJdk	20260317	【Super Chat】いつもありがとう！お礼＆ゆる雑談【不知火フレア/ホロライブ】	
m5tCLPiFKLY	20260314	【スプラトゥーン3/サーモンラン】お久二人で仲良くビッグラン🐟【不知火フレア/ホロライブ】	
jcu9TG1P1Uw	20260313	【ぽこあポケモン】ニンフィア　どこ？🎀【不知火フレア/ホロライブ】	
4d357ly13JY	20260311	【ぽこあポケモン】ニンフィアと暮らせるって聞きました🎀【不知火フレア/ホロライブ】	
Pu6cP5fkzOw	20260310	【雑談】最近あったこととか思い出しながら【不知火フレア/ホロライブ】	
7-iiEUVmXes	20260309	【歌枠/縦型】39の日だからボカロ曲縛りで歌う！  #shorts【不知火フレア/ホロライブ】	
NW-Fqc3gGLQ	20260307	【振り返り雑談】hololive 7th fes.ふれあの出番はどうだった～～？【不知火フレア/ホロライブ】	1
6bN_tKi_wzQ	20260304	【Fes前装備チェック】エルフレの装備を見～せて！【不知火フレア/ホロライブ】	1
IHW3BaEgWeY	20260303	【ツーポイントミュージアム】パンダ捕獲作戦指導だ！DLC「ズージアム」作る！【不知火フレア/ホロライブ】	
9-buRZVYw2c	20260301	【スプラトゥーン3/サーモンラン】クマフェスなので参加型で遊ぶ🐟【不知火フレア/ホロライブ】	1
V7EutORtQog	20260225	【ツーポイントミュージアム】まったり深夜に博物館！DLC「ズージアム」作る！【不知火フレア/ホロライブ】	
4VH0nU6TaqI	20260223	【ツーポイントミュージアム】まったり深夜に博物館！DLC「ズージアム」作る！【不知火フレア/ホロライブ】	
jc_sUwnrHNI	20260219	【pop'n music Lively】えー！楽曲が半額！？らしいので音ゲー「ポップン」をプレコンで遊ぶお試し【不知火フレア/ホロライブ】	
I98rTeLy-4Q	20260218	【ツーポイントミュージアム】朝活にて久しぶりの博物館！DLC「ズージアム」作る！【不知火フレア/ホロライブ】	
