video_id	upload_date	title	flagged
Q8X9d6Smnk0	20260523	【R.E.P.O.】　今日のホロREPOも楽しいコスメティック集めになりそうでう　#ホロREPO【ホロライブ/白上フブキ】	
WOFmp-iUMcs	20260521	【 Slay the Spire 2 】　ありがとう…ドアメーカー…２人で戸締りコラボ！！＃にじホロスレスパ　　【白上フブキ/ホロライブ】	
pS0j3z_JDzg	20260519	【R.E.P.O.】コスメティックをみんなに献上する配信。　#ホロREPO【ホロライブ/白上フブキ】	
2wAS4BQllmo	20260518	【けものティータイム】ケモミミ+ KAWAII +ASMR=超絶癒やしの喫茶店経営【白上フブキ/ホロライブ】	
y96T8S8nivU	20260517	【R.E.P.O.】　#バカタレサーカス　初のLEVEL２０でSUPERMOON🌕️！？ 【ホロライブ/白上フブキ】	
8fmz9hgasEk	20260515	【R.E.P.O.】　#バカタレサーカス　REPOですよぉおおおおおおお！！！！！ 【ホロライブ/白上フブキ】	
eeOoUUxCvaI	20260514	【R.E.P.O.】　今日はぼっちざREPO 【ホロライブ/白上フブキ】	
W16FrWqLXk0	20260513	【R.E.P.O.】　深夜のコスメティック部　#ホロREPO 【ホロライブ/白上フブキ】	
umYYk2qxgzA	20260513	【雑談】ゆるーーーーーっと最近の出来事を思い出しながら雑談 【ホロライブ/白上フブキ】	
JMMUEzBOo3Y	20260512	【R.E.P.O.】第二回静かなるREPO　#ホロREPO 【ホロライブ/白上フブキ】	
8P1HkvKaI9U	20260511	【R.E.P.O.】静かなるREPO　チルってこー！！　#ホロREPO 【ホロライブ/白上フブキ】	
0f1_eloQSXQ	20260510	【ポケモンファイアレッド】　FR版ポケットモンスターゴールドコイキング　購入編　#金コイフブさん【白上フブキ/ホロライブ】	
v4dE50Rlb_I	20260510	【R.E.P.O.】ソロREPOでコスメティックガチャする配信。 【ホロライブ/白上フブキ】	
tB-SEYVNjqU	20260508	【その５】チルラジオ配信 #狐族密会　「 GW終了したね。」【ホロライブ/白上フブキ/尾丸ポルカ】	
hPDFhImr-g4	20260508	【R.E.P.O.】#ホロREPO　アプデされたREPOの世界へレッツゴォオオオ！！！！ 【ホロライブ/白上フブキ】	
LJ4FibmDTVE	20260507	【FINAL FANTASY XIV】第１回　地図１８周回でヤーンが欲しい隊　※ネタバレあり※ 【ホロライブ/白上フブキ】	
KhNGGP94WDU	20260507	【 Slay the Spire 2 】　＃にじホロスレスパ　4人でテッペン目指すぞぉおおお！！！　【白上フブキ/ホロライブ】	
9ZNTdHZF4z4	20260505	【FINAL FANTASY XIV】続！続！極マウント周回で阿鼻叫喚しよう　※ネタバレあり※ 【ホロライブ/白上フブキ】	
