video_id	upload_date	title	flagged
vsIWtzNhiio	20260523	【マリオテニス フィーバー】ボールがネット超えたことない奴のマリオテニス【轟はじめ/ReGLOSS】	
2fKtlS-9TbE	20260522	【発狂したら即終了】箸の使い方【轟はじめ/ReGLOSS】	
uSUsKzrZFx8	20260520	【雑談】お話ししよ~！！！【轟はじめ/ReGLOSS】	
jSOt8vk26Nw	20260519	【バイオハザード RE:4】DLCのエイダさん編初見プレイ！【轟はじめ/ReGLOSS】※ネタバレあり注意	
5_7Ps8nrmqk	20260518	【バイオハザード RE:4】DLCのエイダさん編初見プレイ！【轟はじめ/ReGLOSS】※ネタバレあり注意	
SBj4xGXFcE4	20260517	＃７【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
FWdHZCJ8hN4	20260516	＃６【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
gjbj0gANTcs	20260515	＃５【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
TCKMDtQhuY0	20260512	＃４【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
Nw_40KfmZhs	20260510	＃３【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
rN3rciYqmwE	20260509	＃２【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
2gwEKGz7Uos	20260508	＃１【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意	
yCVakJuei6k	20260504	【Supermarket Together】わしがこのスーパーをでかくする【轟はじめ/ReGLOSS】	
0l5RpCdEtWQ	20260430	【いえのあじ】それってどんな味？【轟はじめ/ReGLOSS】	
S7bjUzgO-bQ	20260428	【雑談】短めだけどお話しよ~！【轟はじめ/ReGLOSS】	
mOHUwttMa2A	20260426	【鬼サザエトリ】ぼく、サザエとる【轟はじめ/ReGLOSS】	
N1kL0qf_K9A	20260425	【歌枠】アニソン縛りで歌っちゃお！【轟はじめ/ReGLOSS】	
