video_id	upload_date	title	flagged
toX8wdSC328	20260520	【トモダチコレクション】オデの楽園がどう頑張ってもドロドロすぎる件について【風真いろは/ホロライブ】	
4qVDs8OL8DQ	20260517	【トモダチコレクション】ホロメン恋愛大三角形観測会👀【風真いろは/ホロライブ】	
7TfDGHm4QvA	20260516	【トモダチコレクション】島人観察DAY＿＿＿【風真いろは/ホロライブ】	
hxAVMW8hBHw	20260510	【経過報告】30分限定、先日より若返り小学生になった風真いろはさん【風真いろは/ホロライブ】	
ARLHStsx8L8	20260509	【凸まち】30分限定この声にメロつけるやつ凸待ち【風真いろは/ホロライブ】	
UTcUiGWWIe4	20260506	【#マイクラバーサス】初参戦🔥逃げ足だけははやいはず・・・!?がんばります✨【風真いろは/ホロライブ】	
4PGB9t4V5no	20260503	【トモダチコレクション】～そうだ、楽園を作ろう～【風真いろは/ホロライブ】	
J9NDlvkfIQM	20260502	【トモダチコレクション】シリーズ初プレイ！ゆる～い^^まちつくるぞ📍【風真いろは/ホロライブ】	
57R7UPufUUk	20260430	【振り返り】風真いろはさん振り返り会場🎙️🍃#SSholoX世界リペイント計画【風真いろは/ホロライブ】	
ArhJEPvG8Ak	20260427	【雑談】ライブ本番まであと2日💡雑談はなんぼあったっていい【風真いろは/ホロライブ】	1
QkrMBjLAqBM	20260423	【飲酒】祝コラボ🎉こだわりゆず酒を飲んでみる🍊 #PR 【風真いろは/ホロライブ】	
TAj2-kZP--g	20260415	【雑談】色々ギリギリな人の久しぶり雑談💭1週間ほど配信おやすみ#shorts 【風真いろは/ホロライブ】	
5Wk-v6ZDF-M	20260410	【雑談】話すこといっぱい💡holoXアルバム発売中だ～い♬【風真いろは/ホロライブ】	
vVPUK9pA1HQ	20260405	【ELDENRING】完全初見⚔DLCの世界にこんにちは✋02【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
74APAkpKgpQ	20260404	【ぽこあポケモン】効率マンによる💡一生できるらしいポケモンゲーム🌳DAY4【風真いろは/ホロライブ】	
B9UabapLhqQ	20260401	【凸待ち】第1話最終回🍃だとう！アクダイカンズ【風真いろは/ホロライブ】	
iFJ-TFFQ99g	20260331	来るな･･･早まるな4月･･･エイプリルフール･･･【風真いろは/ホロライブ】	
YnnfxfTNivg	20260330	【ぽこあポケモン】効率マンによる💡一生できるらしいポケモンゲーム🌳DAY3【風真いろは/ホロライブ】	
08fCJE2GAaw	20260325	【ついにきた】かわいい！でかい！最強ぽこべぇ来る🍃【風真いろは/ホロライブ】	
waTViJID6UI	20260322	【ELDENRING】完全初見⚔DLCの世界にこんにちは✋【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
Pr8kDxM-ew0	20260320	【ぽこあポケモン】効率マンによる💡一生できるらしいポケモンゲーム🌳DAY2【風真いろは/ホロライブ】	
YWihbxWgLfc	20260317	【JSP2】告知あり💡オフコラボで #あずいろ で1時間チャレンジ🔥【風真いろは/ホロライブ】	
b5xA5I1zoJk	20260315	風真いろはの #ねるまえらじお 📻❣ #13	
V-Lx9EZw8ak	20260315	【マリオテニスフィーバー】駆け込み修行寺🎾【風真いろは/ホロライブ】	
WVz5OPvWBic	20260314	【マリオテニスフィーバー】とりあえず3カップ全部たおしてきた🎾【風真いろは/ホロライブ】	
0WbtGvbRf9E	20260311	【ぽこあポケモン】はじめまして！一生できるらしいポケモンゲーム🌳DAY1【風真いろは/ホロライブ】	
aKGG7VUjD5I	20260308	風真いろはの #ねるまえらじお 📻❣ #12	
NSleK0_ETQA	20260308	FesEXPOありがとう✨風真いろはさんの振り返り会場🎈#hololivefesEXPO26【風真いろは/ホロライブ】	1
7rlxCYXOl3Y	20260304	【縦型歌枠】Fes前最終調整だﾂ！！用法用量守って歌います🎤【風真いろは/ホロライブ】#shorts #歌枠	1
XtGnfLxZCEY	20260301	風真いろはの #ねるまえらじお 📻❣ #11	
bOkGXx03ioc	20260301	【ELDENRING】DLC前にあってないやつ倒しに行くぞ！完全初見⚔エルデの王におれはなるッ🔥11【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
0QJeNIdoIyk	20260225	【縦型歌枠】チャンネル登録してください‼️新しくなったマイクで歌うじょ🎤【風真いろは/ホロライブ】#shorts	
xiwSYC4hewo	20260223	【ELDENRING】本編最終回！完全初見⚔エルデの王におれはなるッ🔥10【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
4gAFp3qTTmM	20260222	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥09【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
b7m6iSFfLhk	20260221	【ホロタイプ】誤字タイプ貯金王です💰いきます【風真いろは/ホロライブ】	
XA9dsFKmQmA	20260218	【ホロガード】きっとみんなと同じくらいホロオタクなので余裕です✌【風真いろは/ホロライブ】	
nEy-Y4eq70A	20260215	風真いろはの #ねるまえらじお 📻❣ #10	
bwCJkpMpjsU	20260215	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥08【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
yfs5yKF3H5Q	20260214	【バレンタイン】貰い手募集❣手作りお菓子即売会🍪【風真いろは/ホロライブ】	
klSco-EgWNE	20260211	【Minecraft】short撮影ワールドご紹介＆お掃除【風真いろは/ホロライブ】	
LkSGbDlfjRE	20260208	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥07【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
QxYOwE9nW0w	20260207	【Minecraft】ハードコアエンドラ討伐ver1.16.1今度こそクリアしたい【風真いろは/ホロライブ】	
YE3AaGEnENk	20260205	【あずいろ食堂】前日仕込み垂れ流し配信🍢【風真いろは/ホロライブ】	
wtzraiO02yg	20260201	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥06【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
g5baMHkfELs	20260131	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥05【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
6k5IOoNDP44	20260128	【雑談】そろそろ2026年になってから1か月が経過するらしいですが皆さんいかがお過ごしですか【風真いろは/ホロライブ】	
xixYYhZHors	20260125	風真いろはの #ねるまえらじお 📻❣ #09	
XO_GoBe800E	20260125	【ELDENRING】完全初見⚔エルデの王におれはなるッ🔥04【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます	
Q4blP6-m3IM	20260124	【#ホロ新春ゲーム祭2026】チーム風の風真いろはさんになりました🍃【風真いろは/ホロライブ】	
