video_id	upload_date	title	flagged
5JhRWEaSo0U	20260522	【 The Walking Trade 】ゾンビ世界で、ショップ経営！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
a8GYotCWqxs	20260521	【 歌枠 】久しぶりの横長歌枠！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
qKoxvYdtHuE	20260517	【ワンワンバトル】犬になれ！！！！ほえろ！！！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
E6IAxR489_k	20260516	【Stray #03】この猫ちゃんへ外の世界へ脱出できるんだろうか？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
1QWNR8KbPXI	20260514	【Stray】この猫ちゃんへ外の世界へ脱出できるんだろうか？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
q3z7UNiPYXc	20260512	【Stray】迷子の猫になりました【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
wWCloYOq1yM	20260511	【雑談】最近のマイブームだったり【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
EQpwsy6CQNE	20260510	【Love, Sam】絶対に騙されるホラーゲーム？！やってみる！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
mUennWAKpsM	20260509	【トモコレ】今日も友達ゲットだぜ！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
pNIp0kRQah4	20260506	【リトルナイトメア #03 】少年は一体どうなっちゃうの？！完全初見！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり	
uJwnyRcry28	20260504	【リトルナイトメア #02 】この子を、化け物から守って見せるんだ！！完全初見！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり	
k1FuIfIqKE0	20260503	【リトルナイトメア】この小さい子で、この世界どうやって生きるの…？完全初見！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり	
cM9H5jKzU1g	20260502	【 耐久歌枠 】GW企画！80万人いけるかな？！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	1
PcdE9HpQ1ZI	20260501	【パラソーシャル】久しぶりのホラゲー！！やってみるよ！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
WVT_ihqNZTg	20260428	【雑談】４月がおわっちゃううう【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
zZEZQqNJZp4	20260426	【#スバなで見守り中】ココイチ新米店員、初出勤だっ！！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
6W-ZpDF8F_g	20260425	【トモコレ】今度は誰を作ろうかしら！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS	
