video_id	upload_date	title	flagged
Rwo07FBTNQ0	20260523	みんなで秘密結社holoX Live 2026「First MISSION」を観よう！！！ #SSholoX世界リペイント計画 【ラプラスダークネス・鷹嶺ルイ・博衣こより・風真いろは/ホロライブ】	
fuQvDeeO7wo	20260510	【お知らせ】初めての長期休暇をいただきます！直前凸待ち&雑談！【博衣こより/ホロライブ】	
W2l1ErCEpIs	20260510	【太ももうさぎの大撃腿】超かぐや姫！に出てきた、かぐやが２３時間４３分耐久したゲームをやってみる！【博衣こより/ホロライブ】	1
pv5HuGnx-s4	20260509	【トモコレ】莉々華が告白するまで終われまてん！！！ #ホロ修羅場の島 見納めの耐久🔥【博衣こより/ホロライブ】	1
Ccc3PmIWEyk	20260508	【トモコレ】 #ホロ修羅場の島 へひさしぶりに降り立ってみよう！！何が起きるかな？？？【博衣こより/ホロライブ】	
7CTOMovAyTE	20260507	【Cursed Companions】NGワードでダメージ！回復は愛の言葉で！？ハチャメチャ協力ホラーゲームみんなで初めてやってみる！！👻 #ホロコンパニオンズ 【博衣こより視点/ホロライブ】	
AzEkVsro7z8	20260507	【ワンワンバトル】声のデカさ＆喉の強さでは負けません！！吠えて倒せ！！！わおーーーーん！！！【博衣こより/ホロライブ】	
x_1OYadpwyc	20260506	【 #こより100年桃鉄ハンデ戦 】初の54年ハンデ戦クリアまで！～54年間最弱CPU豆鬼がプレイしたデータで最強CPU3人相手に全物件買い占めできるのか！？～ #最終回 【博衣こより/ホロライブ】	
W3f2-1mzGAk	20260505	【 #こより100年桃鉄ハンデ戦 】はじめての54年ハンデ戦！～54年間最弱CPU豆鬼がプレイしたデータで最強CPU3人に逆転し、全物件買い占めできるのか！？～ #2 【博衣こより/ホロライブ】	
-tx9lixlJe4	20260504	【 #朝こよ GWスペシャル】ゴールデンウィークの火曜日の朝は朝こよ・・・じゃなくて朝551！？朝こよ初の総集編だ！☀ #283 【尾丸ポルカ・一条莉々華・博衣こより/hololive】	
Y505e4FZ9dA	20260504	【100年桃鉄ハンデ戦】はじめての54年ハンデ戦！～54年間最弱CPU豆鬼がプレイしたデータで最強CPU3人に逆転できるのか！？～ #1 【博衣こより/ホロライブ】	
nkEDIOKVD3Q	20260503	【ポケモン不思議のダンジョン 赤の救助隊】２枠目！はじめてのポケダンクリア耐久！ゲームボーイアドバンス版やるよー！！！【博衣こより/ホロライブ】	1
pH7eXdxGwec	20260502	【ポケモン不思議のダンジョン 赤の救助隊】はじめてのポケダンクリア耐久！ゲームボーイアドバンス版やるよー！！！【博衣こより/ホロライブ】	1
avnIU3SIPgI	20260501	【スーパードンキーコング3】久々レトロゲーム！？完全初見クリア耐久だああああ！！！！！【博衣こより/ホロライブ】	1
XbH_jTnKT3g	20260430	【打ち上げ】秘密結社holoX Live 2026「First MISSION」打ち上げ＆裏話＆おうち3Dお披露目！！ #SSholoX世界リペイント計画 #SSholoX 【博衣こより/ホロライブ】	1
fr37LGza2B8	20260428	【ライブ前日雑談】holoXライブ明日だあああああできたら決起集会させてちょおおおおお！！！～ルイいろがちょっと遊びに来てくれたよ！～【博衣こより・鷹嶺ルイ・風真いろは/ホロライブ】	1
0gJXk9WV0YI	20260427	【 #朝こよ 】遂に明日holoXライブ！前日の火曜日の朝も朝こよ～！☀ #282 【博衣こより/hololive】	1
MVPJIwcHSj8	20260427	【料理枠/カメラ有】holoXライブ直前！相方弁当ならぬ、仲間お菓子を作る♡♡♡【博衣こより/ホロライブ】	1
KPwbBy9rWvo	20260426	【プラグマタ】クリアまで！！ディアナに浄化される😭✨カプコンさん渾身の完全新作、やるよー！！ #2 【博衣こより/ホロライブ】※ネタバレを含みます	
ln1uFaXYIog	20260425	【モンスターハンターストーリーズ3】はじめてストーリーズを体験してみる！！見どころを遊ばせてもらっちゃうぞ！？？【博衣こより/ホロライブ】	
PPO43lOYItI	20260425	【プラグマタ】神ゲーと話題沸騰中！カプコンさん渾身の完全新作！土日でクリアする！！！ #1 【博衣こより/ホロライブ】※ネタバレを含みます	
nP3LDiWGfWA	20260423	【トモコレ】 #ホロ修羅場の島 へようこそ！💖💙💜💛💚新メンバーも3人追加！✨【博衣こより/ホロライブ】	
36tIBh4eKWc	20260422	【トモコレ】恋愛ドロドロ修羅場の国スタート⁉四角関係や片想い大量で昼ドラみたいだ～～～！💖💖💖【博衣こより/ホロライブ】	
YBxVEFPGcPY	20260422	【 #朝こよ 】火曜日…は回線壊れたので水曜日振替！の朝こよ～！☀ #281 【博衣こより/hololive】	
ekSJ0w35fbc	20260421	【アークナイツ：エンドフィールド】大型アプデきちゃ！！！ゾアン強くね！？？新ストーリー＆工業も気になるゾアン！【博衣こより/ホロライブ】	
dzTkDSl0tdg	20260421	【トモコレ】回線治ったかテストゲリラトモコレ！総勢21キャラ！みんな顔見知り以上のホロメン(&異分子)の生活を覗き見しよ～～～❣【博衣こより/ホロライブ】	
RFaMGGRsg9M	20260420	【トモコレ】初めてのトモコレ！新メンバー2人参戦予定！総勢21キャラのホロメン(&異分子)の生活を覗き見しよ～～～❣【博衣こより/ホロライブ】	
