video_id	upload_date	title	flagged
F3i30BIJmtY	20260519	【３D】おかゆさんへの挑戦状！噓発見器でプライドバトル👊【ラプラス・ダークネス/猫又おかゆ/ホロライブ】	
dBzPcy1DqzU	20260511	【雑談】本当にいろいろあったから話そうぜ～～～～～＾＾【ラプラス・ダークネス/ホロライブ】	
H6QIy0YrWYs	20260420	【初見プレイ】マジで何も知らないんだけどお姉さんいる！？アークナイツエンドフィールド【ラプラス・ダークネス/ホロライブ】	
EeEQHy68tBo	20260319	【#NELLマットレス】マットレスで睡眠の質って本当に変わるの？＃らぷさまなでなで【ラプラス・ダークネス/ホロライブ】	
jhZ83gcD64g	20260318	【Marathon】3人で新作FPS「Marathon」やってみる！【ラプラス・ダークネス/ホロライブ】	
hWzM8GdeYmI	20260301	【荒野行動】ホロメンと荒野いこうや！！！！！！！！！！！！！！！！！【ホロライブ/ラプラス・ダークネス】	
3ZH90yi8O00	20260223	【歌枠】karaoke！朝です！おはよ！【ラプラス・ダークネス/ホロライブ】	
zPX6piYTNGo	20260201	【歓喜】AZKiさんとこよりが吾輩のために最高のお姉さんAIを開発！？そんな神企画いいんですか…🤓💗【ラプラス・ダークネス/ホロライブ】	
7Yu1A-M5SIc	20260126	【3D】満足させないと出られない⁉ #お姉さん大集合ASMR牢 【ラプラス・ダークネス/ホロライブ】	
oqwdXuHkFkE	20260108	【深夜】おかゆ、いくぞ。おかゆにゅ～～む！体験版サンプルフィニッシュするお。【ラプラス・ダークネス/ホロライブ】	
ebnfDlxLZug	20260102	【新年】太客贔屓チェキ会配信【ラプラス・ダークネス/ホロライブ】	
