video_id	upload_date	title	flagged
ZAt5LLCE1Mw	20260523	【 優駿牝馬（オークス） 】牝馬クラシック第2戦…俺たちはまた伝説をみる…。【鷹嶺ルイ/ホロライブ】 2026-05-24 15:59	
70TCXxwdkME	20260522	【 #カゲマス 】3.5周年イベだ‼今回もありますワンパンチャレンジ👊‼【鷹嶺ルイ/ホロライブ】	1
XFvJA0qPSSk	20260521	【 MOTHER 】完全初見！山の上の爺とは・・・？砂漠はなんだ？【鷹嶺ルイ/ホロライブ】	
Z7Aq9bVk9Vc	20260519	【 ある猟奇殺人犯の愛読書 】謎解き！SCRAPさんの家でできるリアル脱出ゲームやります！【鷹嶺ルイ/ホロライブ】※ネタバレあり	
vOJMd0y11vU	20260518	【 MOTHER 】完全初見！いざ！！サンタクロース駅へ…🎄【鷹嶺ルイ/ホロライブ】	
XpPas9hfcqg	20260517	【 ヴィクトリアマイル 】最強女王を決める重賞レース‼宝塚記念の投票もしよう！【鷹嶺ルイ/ホロライブ】	1
eZWzAHhDJy4	20260516	【 ウマ娘 プリティーダービー 】アーモンドアイを初めて育成するぜ！！！#2【鷹嶺ルイ/ホロライブ】	
4QRrdts900E	20260516	【 同時視聴/Watchalong 】『ドラゴンボールZ 神と神』視聴会。【白上フブキ/鷹嶺ルイ/ホロライブ】	
LNCd1fRKOKc	20260516	【 Detroit: Become Human 】完全初見！最終回！運命を選択し、自分の未来を紡げ。【鷹嶺ルイ/ホロライブ】	
hBjxjJVicIM	20260514	【 MOTHER 】完全初見！『MOTHERシリーズ』今夜もやります！【鷹嶺ルイ/ホロライブ】	
tojEGz-odMc	20260514	【 3D KARAOKE / 歌枠 】まつりちゃんと一緒にカラオケするぞ～‼【夏色まつり/鷹嶺ルイ/ホロライブ】	
h91ewvCiX34	20260513	【 MOTHER 】完全初見！不朽の名作『MOTHERシリーズ』遂に始めます。【鷹嶺ルイ/ホロライブ】	
beuCoWPM-J8	20260513	【 Dread Neighbor 悪意 】SAN値ゴリゴリ削るトラウマ級ホラゲ。【鷹嶺ルイ/ホロライブ】	
VOCdk1ej9gs	20260511	【 3D KARAOKE / 歌枠 】べーちゃんと一緒にカラオケするぞ～‼【Hakos Baelz/鷹嶺ルイ/ホロライブ】	
MZhj3fYQAkk	20260509	【 Detroit: Become Human 】完全初見！運命を選択し、自分の未来を紡げ。【鷹嶺ルイ/ホロライブ】	
PfnIuTczKgE	20260508	【 DREAD FLATS 凶寓 】最恐ホラゲ続編！きっと余裕だよにぇ…にぇ…？  #みこったかにぇ【さくらみこ/鷹嶺ルイ/ホロライブ】	
gbShhPZnV08	20260506	【 ドラゴンボールZ KAKAROT 】完全初見！残りのサブクエを楽しむ最終回✨【鷹嶺ルイ/ホロライブ】※ネタバレあり	
NKh3YjQAIUc	20260505	【 かしわ記念 】地方に目覚めた女。かしわ記念で的中を目指す。【鷹嶺ルイ/ホロライブ】	1
ciEOEVZSY58	20260505	【 ドラゴンボールZ KAKAROT 】完全初見！DAIMA編PART2。【鷹嶺ルイ/ホロライブ】※ネタバレあり	
XOovxanG7Pg	20260503	【 #ホロDTBトーナメント 】エンジョイ！ホロどうぶつタワーバトルトーナメント3rd✨！！！【鷹嶺ルイ/ホロライブ】	
kbcR0VW-_Tg	20260503	【 天皇賞(春) 】前半はちは・ポルと一緒に勉強しつつ予想をやっていくぞ☺【鷹嶺ルイ/ホロライブ】	
n6OhEafaWqI	20260502	【 ドラゴンボールZ KAKAROT 】完全初見！DAIMA編続き！おもろい…！！！【鷹嶺ルイ/ホロライブ】※ネタバレあり	
T9FBeiJuG0k	20260501	【 #ホロDTBトーナメント 】エンジョイ！ホロどうぶつタワーバトルトーナメント3rd抽選会✨【鷹嶺ルイ/ホロライブ】	
QUQ7R-oS1Ac	20260501	【 ドラゴンボールZ KAKAROT 】完全初見！GWだ～！！！DAIMA編だ～～～～～！！！【鷹嶺ルイ/ホロライブ】※ネタバレあり	
Bqn9kx3xW8U	20260430	【 #ルイ新アクセお披露目 】GW企画発表あり‼ かっこいい新アクセサリーを公開するぞ✨【鷹嶺ルイ/ホロライブ】	1
yhV74Ax06Rc	20260430	【LIVE衣装で振り返り】秘密結社holoX Live 2026「First MISSION」ありがとう‼ #SSholoX世界リペイント計画 #SSholoX 【鷹嶺ルイ/ホロライブ】	
oeQZuTW9JTA	20260426	【 香港チャンピオンズデー 】ジョバンニ応援します！！！！！！！！【鷹嶺ルイ/ホロライブ】	
