video_id	upload_date	title	flagged
VH2fDVE9NMU	20260507	【Cursed Companions】協力ホラゲーコラボ！？NGワードに気をつけろ──【ホロライブ/宝鐘マリン】#ホロコンパニオンズ	
CvN02o9LAXQ	20260504	【逆凸】誰でもいいから寝かしつけてよ───【ホロライブ/宝鐘マリン】	
b3xG6HRqorE	20260430	【トモコレ】友達のお母さんと恋愛しちゃおう♡かわいいキャラクリガチ勢島【ホロライブ/宝鐘マリン】	
rtQHMVuZaoE	20260429	【カメラ有り実食】マリン船長の終わり散らかしてる食生活を救いにきた──三ツ星ファーム【ホロライブ/宝鐘マリン】	
d0YtPCKTpLo	20260426	【トモコレ】かわいいキャラクリこだわりガチ勢島！いいからみんな結婚しろ【ホロライブ/宝鐘マリン】	
fKyCP_zxbtQ	20260425	【トモコレ】かわいいキャラクリガチ勢によるトモダチコレクション！！！！【ホロライブ/宝鐘マリン】	
GsQ7m7IMAdQ	20260421	【トモコレ】ちゃんと表情が動く可愛いキャラクリ講座！必勝のコツがある──【ホロライブ/宝鐘マリン】	
n1RxjpCecyk	20260419	【トモコレ】ちゃんと表情が動く可愛いキャラクリ講座！デフォルメ加減が大事──【ホロライブ/宝鐘マリン】	
4b2bxpVgj64	20260418	【トモコレ】ちゃんと表情が動く可愛いキャラクリ講座！マリン爆モテ島を目指して──【ホロライブ/宝鐘マリン】	
H1Z96LzzG7k	20260415	宝鐘マリン、乱れる───【ホロライブ/宝鐘マリン】	
vXOrH7SFj2Y	20260412	【ウミガリ】この海、やばい─👻!!マリン船長、恐怖の出航──【ホロライブ/宝鐘マリン】	
eaQF7rv7x0U	20260407	【トモコレ】爆モテ人生送りたいけどキャラクリに凝りすぎて始まらない予感がする【ホロライブ/宝鐘マリン】	
m4WVslAL2Nk	20260318	【同時視聴】超かぐや姫！をいっしょに観ませんか？【ホロライブ/宝鐘マリン】	
9VngosPxokc	20260313	【ホットペッパーグルメの席押さえ】久しぶりのマリルーナでホロ飲みトーク！【ホロライブ/宝鐘マリン・姫森ルーナ】	
RwGxhtG6BSg	20260311	【カゲマス】マリン船長実装！！ホロメン復刻も！？ガチャ引きまくって可愛さを布教する！！！【ホロライブ/宝鐘マリン・鷹嶺ルイ】	
GWZrQZ6leZI	20260310	【マリオテニスフィーバー】船長大会に出るってマジ？ぺこらコーチ、略してペコーチを添えて──【ホロライブ/宝鐘マリン】	
FvmDQ9yOp_s	20260228	【宝鐘マリン４００万人記念】新曲お披露目ミニライブに、ドッキリに、マナー講師平林先生！？盛りだくさん！告知もあり！【ホロライブ/宝鐘マリン】	1
pHkEPvUnSlE	20260223	【400万人記念】企画告知します！！！！！！！【ホロライブ/宝鐘マリン】	1
cCHVKWvBpv0	20260214	【告知あり】マリン船長、大型アプデで美少女に磨きがかかってしまう──【ホロライブ/宝鐘マリン】	
3ECbgGfiPh4	20260211	【＃ホロテラリア】ホロメンとゆく！ついに最終回Terraria【ホロライブ/宝鐘マリン】	
Qmbubo9yX8w	20260208	【＃ホロテラリア】ホロメンとゆく！どんどんみんな強くなるTerraria【ホロライブ/宝鐘マリン】	
pzLVk2MoMkQ	20260207	【＃ホロテラリア】ホロメンとゆく！やりたいことが渋滞してるTerraria【ホロライブ/宝鐘マリン】	
o6r_n6eC52w	20260128	【＃ホロテラリア】ホロメン6人で！あの伝説が帰ってくる──【ホロライブ/宝鐘マリン】	
Er1YIT7q8Kk	20260118	I LOVE キミたぴ💘【ホロライブ/宝鐘マリン】	
iWLmuobqhXo	20260103	【#新春3期生24時間配信】新春あけおめ！ホロライブ24時間ぶっ通し生配信！4枠目【ホロライブ/兎田ぺこら/不知火フレア/白銀ノエル/宝鐘マリン】	
