video_id	upload_date	title	flagged
kDu0xAiDHN0	20260524	【朝活雑談】っぱ！！さんでーまっするは日曜10時から！！！！っしょ！【白銀ノエル/ホロライブ】	
J7LgP5os8RU	20260523	【ゴブリン・ノーム・ホーン】大好きネックビ！アプデきちゃ太郎～！！！早速やるど🔥【白銀ノエル/ホロライブ】	
HoKFaHh4qvk	20260522	【歌枠】華の金曜日✨お酒飲みながら超絶久々の歌枠～！！！！！！！？？？【白銀ノエル/ホロライブ】	
HhLwN4NHVFc	20260521	#5【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり	
0uhIv_HP5Dc	20260517	【朝活雑談】今日は10時じゃなくて8時だよ～！！！！早起きチャレンジだ～！！！【白銀ノエル/ホロライブ】	
kpiN94c8On8	20260516	#4【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり	
zNUybqEHpQY	20260514	【R.E.P.O.】久々のしらけんうれぢい！！！初めてのアプデを遊んでみる～～～！！！【白銀ノエル/ホロライブ】	
FimwoDAYH1Y	20260512	【ワンワンバトル】日頃から声が小さいと評判だけど...犬2匹のボスなんでね...【白銀ノエル/ホロライブ】	
LIwx6lGRLRs	20260510	【朝活雑談】日曜10時はさんでーまっする！一緒にお喋りしよ～！【白銀ノエル/ホロライブ】	
9b0jJPu0OgM	20260509	#3【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり	
NIPZ7On8X4Y	20260506	【同時視聴】[20～25話] 機動戦士ガンダム 鉄血のオルフェンズ 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
mfV3u7ESArU	20260506	#2【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり	
4se_7QogWcc	20260504	【同時視聴】[14話～19話] 機動戦士ガンダム 鉄血のオルフェンズ 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
Mxvqf_bYXOE	20260503	【トモコレ】絶対に結ばれたい.......................................................わくわく生活あじまる！！【白銀ノエル/ホロライブ】	
6WfPVHlY_QQ	20260503	【朝活雑談】日曜10時はさんでーまっする！新しい家族のお話も！【白銀ノエル/ホロライブ】	
rBoov6XJH0A	20260502	【同時視聴】[7話～13話] 機動戦士ガンダム 鉄血のオルフェンズ 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
p4RLkIaw-Qc	20260502	#1【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり	
fFn8Sii72nM	20260501	【同時視聴】[1話～6話]機動戦士ガンダム 鉄血のオルフェンズ 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
ZM0WXIaict0	20260501	#10【仁王2】叫んだら終了ぐらいの喉労り精神ッッ！NO秀吉(ひできち)！！天下統一目指して脳筋パッションだ～！！！【白銀ノエル/ホロライブ】	
z3vlzaL1Y8M	20260429	#09【仁王2】叫んだら終了ぐらいの喉労り精神ッッ！NO秀吉(ひできち)！！天下統一目指して脳筋パッションだ～！！！【白銀ノエル/ホロライブ】	
7j_nNQ87Isc	20260427	【モンスターハンターストーリーズ3】脳筋女騎士！モンハンの世界へ🔥【白銀ノエル/ホロライブ】	
PqL-XrEFOhU	20260426	【朝活雑談】日曜10時はさんでーまっする！今日はジゴロックVTR出演もあるよ～！【白銀ノエル/ホロライブ】	
1-LY4ttC1xU	20260425	#08【仁王2】おまたせ戦国時代！！天下統一目指して脳筋パッションだ～！！！【白銀ノエル/ホロライブ】	
TbJodPWChyg	20260423	【トモコレ】はじめてのトモコレ！わくわく生活あじまる！！【白銀ノエル/ホロライブ】	
zYe-etN0am0	20260422	【ぽこ あ ポケモン】新たな街へ！どんどん開拓！まったりスローライフぽこあ！【白銀ノエル/ホロライブ】	
jKQ42oVcc_c	20260421	【ぽこ あ ポケモン】どんどん開拓！まったりスローライフぽこあ！【白銀ノエル/ホロライブ】	
mFYuDaIbBbU	20260419	【朝活雑談】はじめてのVRCガチ恋距離さんま！【白銀ノエル/ホロライブ】	
LkoKJnwF6c4	20260418	【鬼サザエトリ】大好きなネックビに癒されつつ...深夜にチル大潜水！【白銀ノエル/ホロライブ】	
UMPC2IW3Dn0	20260417	【ぽこ あ ポケモン】病み上がりに適しているゲーム...そう、ぽこあ。【白銀ノエル/ホロライブ】	
VAZRZXAlAKQ	20260414	【テレビ大分】地元からのお仕事！？うおーッ、頑張ります！【白銀ノエル/ホロライブ】【白銀ノエル/ホロライブ】	
4Dr0bWuE7wQ	20260412	【ASMR】病み上がり彼女による脳みそトロふわ安眠ASMR💊【白銀ノエル/ホロライブ】	
oY5h2i3rezw	20260412	【朝活雑談】2週間ぶりのさんま！先週末大分に帰省したよ～！(そのあと喉やっちまっ太郎でお休み花子💤)【白銀ノエル/ホロライブ】	
VkCaEK4zpeg	20260407	【同時視聴】機動戦士ガンダムIII めぐりあい宇宙編 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
aL46hWFdeKw	20260407	【ぽこ あ ポケモン】もっともっとポケモンに会いたいッ！開拓するぞ～！！【白銀ノエル/ホロライブ】	
q1B7jsP8-BE	20260402	#07 【仁王2】※サブクエ視聴者参加型あり※おまたせ戦国時代！！天下統一目指して脳筋パッションだ～！！！【白銀ノエル/ホロライブ】	
TOR-nC0W-NQ	20260331	【同時視聴】劇場版 機動戦士ガンダムⅡ 哀・戦士編 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
2KhanpxNNaA	20260331	【ぽこ あ ポケモン】前回からまったく進歩のない未発展ぽこあ～！！！【白銀ノエル/ホロライブ】	
ibXLsZLP3qw	20260330	【活動6年半の新人Vtuber(※)】リスナーさんいっぱいきてくれるかな...ﾄﾞｷﾄﾞｷ...【白銀ノエル/ホロライブ】	
sgs0f6nFu5c	20260329	【朝活雑談】忙しノエたろう！団員さん寂しい思いしてない...？【白銀ノエル/ホロライブ】	
G2Sw_trWoFM	20260328	【BIG3】重大告知あり！リスナーさんからのマシュマロお便りもぐもぐだ～！！！【白銀ノエル/ホロライブ】	
1R8KIazRg7k	20260327	【紅の砂漠】超絶グラフィック＆大迫力アクション！早速プレイしてみるッ！【白銀ノエル/ホロライブ】	
dhv-5ODsxD4	20260325	【ぽこ あ ポケモン】はじめてのぽこあ～！！【白銀ノエル/ホロライブ】	
QmJVWFCroIE	20260322	【朝活雑談】とまるんじゃねぇぞ.........【白銀ノエル/ホロライブ】	
utbyeyXJJOg	20260316	【マリオテニス フィーバー】打ち上げリベンジ！！！！楽しむ心を忘れるなかれ.............【白銀ノエル/ホロライブ】	
Vc6i952DRkk	20260316	【マリオテニス フィーバー】敗 北 太 郎 T T【白銀ノエル/ホロライブ】	
FjVOU_TJIa0	20260315	【マリオテニス フィーバー】大会本番！！！！アカデミー卒業の意地【白銀ノエル/ホロライブ】	1
jS7LJlOrCPc	20260315	【マリオテニス フィーバー】大会直前！！アカデミー卒業が負けるわけがない【白銀ノエル/ホロライブ】	1
5YURFz9vj2s	20260315	【朝活雑談】ホロメンとごはんいったり！先週プライベートトークできなかった分いっぱい話したい🎵【白銀ノエル/ホロライブ】	
k39JkJwR4F0	20260314	※PC不調で29分ぐらいから再スタートしてます※【同時視聴】劇場版 機動戦士ガンダム 一緒に観ようッ！！【白銀ノエル/ホロライブ】	
6YNwiLTnsm8	20260313	【マリオテニス フィーバー】ガボン............だんちょの学歴についてこれるか？【白銀ノエル/ホロライブ】	
_PRLAQ_AXA0	20260311	【マリオテニス フィーバー】途中からぺこらっちょ師匠がきてくれる！ってか周りのホロメンアカデミー卒業してないってマ？勝ったな.........🎾🔥【白銀ノエル/ホロライブ】	1
-rxkYVwwoDU	20260310	【マリオテニス フィーバー】人生初のマリオテニス！大会に向けて練習だ🎾🔥【白銀ノエル/ホロライブ】	
7zShq5OZ0EU	20260309	【スパチャお礼雑談】39の日に深夜チル🍵さんま3週分＋ホロガードのスパチャお礼させてね！【白銀ノエル/ホロライブ】	
UOO3SYBQimU	20260308	【さんま増刊号】10時のEXPOステージ同時視聴からの7th fes.振り返り感想会だ～💪🌞【白銀ノエル/ホロライブ】	1
aYbE-rEImns	20260305	【テストプレイをサボりすぎたRPG】プレイ時間100時間越えのフルボイス超大作RPG！！テンアゲ太郎だ～！【白銀ノエル/ホロライブ】	
HVXpBDt4TAE	20260304	#06【仁王2】秀吉爆誕！！！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
4ssj1eY0VTw	20260301	【荒野行動】ホロメンと荒野いこうや🔥参加型ルーム戦あり！1位はいただきまっする💪【白銀ノエル/ホロライブ】	
TmJGsPZLil4	20260301	【朝活雑談】わんちょむ無事手術成功＆退院しました！＋ゆるゆるホロメントークなど！【白銀ノエル/ホロライブ】	
N0m4M4MqzY4	20260228	#05 【仁王2】お久しぶりの仁王2！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
5R7W_0Hkd48	20260226	【ホロガード】初めてのホロガード！自分自身のことすらわからない説【白銀ノエル/ホロライブ】	
aIi1h6-GhuI	20260223	【朝活】久しぶりの縦型歌枠でキミを起こしちゃう💡【白銀ノエル/ホロライブ】	
tQwv41x7c9k	20260222	【マシュマロ】1時間以内？！初めての100本ノック！心を鬼にしてさばきますッ！【白銀ノエル/ホロライブ】	
rvaTS57IFdA	20260222	【朝活雑談】１週間ソロ配信おやすみ太郎でした！おひさしぶり🌸【白銀ノエル/ホロライブ】	
ab2hfE88IGw	20260215	【#きゅるるん大作戦 】アーカイブ公開終了間近！三期生と一緒にDAY1の感動をもう一度✨同時視聴しよう～！！【白銀ノエル/ホロライブ】	
5EErNbHtNJs	20260215	【朝活雑談】脳みそとろとろちゃんねる！ホロメンとごはん行ったりテラリア最終回だったり怒涛の１週間！【白銀ノエル/ホロライブ】	
wUWM81nUh9o	20260214	【歌枠】Happy Valentine💖久々の歌枠するよ～✨【白銀ノエル/ホロライブ】	
2N9oQPjUWiA	20260211	【#ホロテラリア】最終回ということで早出太郎ッッ！！遊びつくしたい🔥タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
Y16lx_u6L9E	20260210	#04 【仁王2】深夜のチル回(？)いざ稲葉山城へ！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
ow7ZVkrbuQA	20260208	【#ホロテラリア】投擲最強チャンネル！！タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
xaR_eiN0mNQ	20260208	#03【仁王2】人妖の桶狭間から！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
u4aZtAI6MgI	20260208	【朝活雑談】くうねるあそぶ！おしごと！じかんがたりないたろう【白銀ノエル/ホロライブ】	
C8EZHQ_WwA8	20260207	【#ホロテラリア】ハードモード突入！！！タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
3_XoReXYcaU	20260207	#02【仁王2】約5年ぶりに仁王の世界へ！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
9CnboEmyyO4	20260205	【ASMR】おまたせしました🐑💖今年初の耳掃除＆耳マッサージで平日から多幸感ASMR🍀【白銀ノエル/ホロライブ】	
pU5m5Sm0PLc	20260204	【#ホロテラリア】ハードモード突入？！タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
E7o2yVGyPgg	20260201	【#ホロテラリア】タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
gvWArcYEhfc	20260201	【朝活雑談】テラリアに仁王2にゲーム三昧な日々！2月もよろしくまっする太郎✨【白銀ノエル/ホロライブ】	
dX5NQJWQJmM	20260131	【#ホロテラリア】タイムカードﾋﾟｯ！愉快な仲間たちとテラリアはじめる太郎！【白銀ノエル/ホロライブ】	
CmcU5eJ91tQ	20260131	【仁王2】約5年ぶりに仁王の世界へ！！！脳筋女騎士の新たな旅！【白銀ノエル/ホロライブ】	
