video_id	upload_date	title	flagged
tBq1w1zkA9I	20260523	【SFC】完全初見！ドラゴンクエストVI 幻の大地 ぺこ！【ホロライブ/兎田ぺこら】※ネタバレ注意 2026-05-24 15:39	
CQiIcAlv5Fc	20260523	【#ホロREPO】オサレ皇帝（エンペラー）におれはなる！【ホロライブ/兎田ぺこら】	
tWbYTK_h7mE	20260523	#最終回【テイルズ オブ ジ アビス】はじめてのテイルズシリーズ！生まれた意味を知るRPGやる！TALES OF THE ABYSS ぺこ！【ホロライブ/兎田ぺこら】※ネタバレ注意	
HmCFCs4xeLw	20260522	3000冊の散らかった本をガッツリ片付る 【ホロライブ/兎田ぺこら】	
_hHWvlFn6V0	20260522	【PUBGモバイル】ぺこーら実装！？ぼたんちゃんとドン勝目指す！！！！！ぺこ！【兎田ぺこら/獅白ぼたん/ホロライブ】	
ujwgQ2Aw9IQ	20260521	#最終回【初見】『機動戦士ガンダム Zガンダム』同時視聴！！ぺこ！【ホロライブ/兎田ぺこら】	
opl38oW6VGU	20260521	【BLEACH Rebirth of Souls】尸魂界編！ブリーチの物語を追体験できるゲームやるぺこおおおおおおおおおおおおおおおおおおおお！！！！！ぺこ！【ホロライブ/兎田ぺこら】	
tIQHQQMRdOY	20260520	【初監督】みんなでメルカードのCM監督に挑戦してみた！ぺこ！ 【ホロライブ/兎田ぺこら/AZKi/百鬼あやめ/白銀ノエル】	
4a-BI-tcaqc	20260519	【R.E.P.O.】オシャレになりたい！ぺこーらちゃん！【ホロライブ/兎田ぺこら】	
fmE9RA5zC5U	20260518	【R.E.P.O.】最近めっちゃ流行っとるねぇ⁉ 俺はREPOをやる@無限募集SP ぺこ！【ホロライブ/兎田ぺこら】	
qhUB9bs6vBM	20260517	#11【テイルズ オブ ジ アビス】はじめてのテイルズシリーズ！生まれた意味を知るRPGやる！TALES OF THE ABYSS ぺこ！【ホロライブ/兎田ぺこら】※ネタバレ注意	
ko5gDCp61so	20260516	【コラボ】りりかちゃんとポケモンパンから出たポケモンだけで対決する！！！ぺこ！【ホロライブ/兎田ぺこら/一条莉々華】	
m133hGtho4g	20260516	#10【テイルズ オブ ジ アビス】はじめてのテイルズシリーズ！生まれた意味を知るRPGやる！TALES OF THE ABYSS ぺこ！【ホロライブ/兎田ぺこら】※ネタバレ注意	
tsDpT9XBWEI	20260516	#10【テイルズ オブ ジ アビス】はじめてのテイルズシリーズ！生まれた意味を知るRPGやる！TALES OF THE ABYSS ぺこ！【ホロライブ/兎田ぺこら】※ネタバレ注意	
dMShwXbbZls	20260515	【BLEACH Rebirth of Souls】尸魂界編！ブリーチの物語を追体験できるゲームやるぺこおおおおおおおおおおおおおおおおおおおお！！！！！ぺこ！【ホロライブ/兎田ぺこら】	
vgsfT7GUFNs	20260514	#7【初見】『機動戦士ガンダム Zガンダム』同時視聴！！ぺこ！【ホロライブ/兎田ぺこら】	
_TkXiRkaT08	20260514	初めての福岡行ってみた！ぺこ！【ホロライブ/兎田ぺこら】	
Oi1096ImdYg	20260513	【BLEACH Rebirth of Souls】ブリーチの物語を追体験できるゲームやるぺこおおおおおおおおおおおおおおおおおおおお！！！！！ぺこ！【ホロライブ/兎田ぺこら】	
KI7BLJSwzps	20260511	【オメガフェネクス】『アーマードコア』好きが一人で8年かけて作ったゲームやってみる！ぺこ！【ホロライブ/兎田ぺこら】	
