video_id	upload_date	title	flagged
JWbPEDYFnq0	20260524	【オークス】桜を制し、樫へ――二冠への正統進撃。【尾丸ポルカ/ホロライブ】 2026-05-24 15:51	
JxhQgOv5zsY	20260523	【R.E.P.O.】こうましろファミリーコラボ🌟みんなを連れて行く～💓【尾丸ポルカ視点/ホロライブ】	
iohP68REbng	20260522	【OHAPOL】#200 5/23土曜日！寝起きでぱやぱや #ポルカ公演中 【尾丸ポルカ/ホロライブ】	
kGdIfOF49Hw	20260520	【鳴潮】二章から！！！緋雪さんもガチャでお迎えするぞ～～～～～～～！！！！！【尾丸ポルカ/ホロライブ】	
dK_Cq9l8uDs	20260517	【R.E.P.O.】ついにまだ見ぬステージへ！！！20LV🌕️スーパームーン！！！【尾丸ポルカ視点/ホロライブ】	
4lB4BblFP-U	20260517	【ヴィクトリアマイル】競馬配信🔰咲き誇れ、最速のヒロインたち。【尾丸ポルカ/ホロライブ】	
t5y3I4KaA_I	20260517	【OHAPOL】#199 5/17日曜日！5月も中旬！？早すぎるっぴ・・・ #ポルカ公演中 【尾丸ポルカ/ホロライブ】	
qUBN3y_1Aeo	20260515	【R.E.P.O.】なんかこのメンツ遊んだ希ガス・・・バカタレPOサーカス！！！！【尾丸ポルカ視点/ホロライブ】	
bNjs2FHGXKw	20260514	【R.E.P.O.】久々しらけん💓アプデ後のレポで遊びまくる！！！【尾丸ポルカ視点/ホロライブ】	
XsCyd89vTwc	20260512	【R.E.P.O.】REPOでつながるWA！！！！春雨麗女ことめーちゃんと！！！！【尾丸ポルカ視点/ホロライブ】	
-b87L3RLDqg	20260510	【NHKマイルカップ】競馬配信🔰春の東京、未来を変える1600m。【尾丸ポルカ/ホロライブ】	
2q-SyqK82_w	20260509	【パラノマサイト FILE38 伊勢人魚物語】#3 人魚の謎を追い求めて！！！！※ネタバレあり【尾丸ポルカ/ホロライブ】	
A5Q0GpglCEE	20260506	【パラノマサイト FILE38 伊勢人魚物語】人魚の謎を追い求めて！！！！※ネタバレあり【尾丸ポルカ/ホロライブ】	
RWI1gEPHrSY	20260505	【かしわ記念】競馬配信🔰積み上げた王者の意地か、新星の台頭か。【尾丸ポルカ/ホロライブ】	1
FxIRAAIH_do	20260503	【天皇賞（春）】競馬配信🔰春の盾、その重みを背負うのは誰だ。【尾丸ポルカ/ホロライブ】	
I_pUQsQpGSQ	20260502	【ケンタッキーダービー】競馬配信🔰全てを懸けた2分間、歴史が動く。【尾丸ポルカ/ホロライブ】	
QGOjIE6QaBM	20260502	【OHAPOL】#198 5/3日曜日！GWのニチアサだああああああああ #ポルカ公演中 【尾丸ポルカ/ホロライブ】	
8Z_XMK7o9iI	20260502	【ウマ娘】大好きな愛バ！！ガチャダービー開催！！目指せピタリ賞！！！イベストも観たい【尾丸ポルカ/ホロライブ】	
8zr1yJflCIg	20260429	【羽田盃】競馬配信🔰3歳ダート戦線、頂点決戦。【尾丸ポルカ/ホロライブ】	
kpL7afPk0TA	20260427	【歌枠/KARAOKE】春はJ-POP？ボカロ？まったりしながら今週もがんばろ🎶【尾丸ポルカ/ホロライブ】	
FI9WoA7J_mk	20260426	【フローラS・マイラーズC】競馬配信🔰春の重賞はまだまだ続く・・・【尾丸ポルカ/ホロライブ】	
HPV6bmwzJY8	20260425	【鳴潮】引き続き一章八幕から、ギャルも加わってご機嫌です【尾丸ポルカ/ホロライブ】	
29p_t7AVH7o	20260423	【全体同時視聴】「近畿地方のある場所について」観ないか・・・【尾丸ポルカ/ホロライブ】	
NtzvybQREqg	20260421	【R.E.P.O.】ハリポルーナでREPOるぞ～～～！！！！！！【尾丸ポルカ視点/ホロライブ】	
