video_id	upload_date	title	flagged
ZaGwdzeN6PA	20260523	人生初の初代スーパーマリオブラザース！莉々華先輩のお家でやる！！！！❤【ホロライブ DEV_IS 響咲リオナ】	
zwGG8-dMehw	20260523	インターネット開通できなかった女と虎の闇鍋パーティ	
xClgtFMi82M	20260522	【重大告知歌枠】リオナから２つ！重大告知させてください✨【ホロライブ DEV_IS 響咲リオナ】	
NMeczL19AdQ	20260521	インターネット開通できなかった女の1人タコパ	
_BjJJhatU9s	20260520	【ドラゴンボールZ KAKAROT】「TRUNKS 希望の戦士」DLCの続きやっていくよ！【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
uv7dMY8dU9E	20260517	【歌枠】歌ってもいいですか？♡【ホロライブ DEV_IS 響咲リオナ】	
-5h46aQ0MXQ	20260516	【ドラゴンボールZ KAKAROT】「TRUNKS 希望の戦士」DLCやっていくよ！【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
baG23npeVuA	20260515	【 鬼サザエトリ 】サザエって美味しい？♡【ホロライブ DEV_IS 響咲リオナ】	
mD8WqiMCsgE	20260514	【定期配信＃31】木曜のお昼の１２時はリオナとランチ❤【ホロライブ DEV_IS 響咲リオナ】#リオナとランチ	
CDf_i8YmrUo	20260513	【 Minecraft 】寝る前ですか？深夜のチルマイクラ覗いてってね♡【ホロライブ DEV_IS 響咲リオナ】	
gEVHOSMu-Xs	20260512	【ARK: Survival Ascended】アルファ・ラプトル絶対にたおす！！！！【ホロライブ DEV_IS 響咲リオナ】	
zeZyghu4jF0	20260511	【縦型歌枠】そこのあなた！歌聴いていかない？♡【ホロライブ DEV_IS 響咲リオナ】	
4_bhAWW0NSg	20260510	【ARK: Survival Ascended】三回目のARK！もっと強くなりたい・・！【ホロライブ DEV_IS 響咲リオナ】	
TSl3McG2zHM	20260508	【ARK: Survival Ascended】2回目のARK！肉食動物テイムしたい！【ホロライブ DEV_IS 響咲リオナ】	
rb6s6xNwGxk	20260507	【定期配信＃30】木曜のお昼の１２時はリオナとランチ❤【ホロライブ DEV_IS 響咲リオナ】#リオナとランチ	
5fWFKEhWZgE	20260506	【Cursed Companions】NGワードで即死！？自滅だけはさけるんだっ！！【ホロライブ DEV_IS 響咲リオナ】	
0Xeeb24jr08	20260505	【無礼講Among us】ちーーっす！！ういーっす！・・・無礼講ってこんな感じ(;'∀')？【ホロライブ DEV_IS 響咲リオナ】	
F9B7VI4uFMA	20260504	【ARK: Survival Ascended】初見ARK！恐竜さん見てみたい✨【ホロライブ DEV_IS 響咲リオナ】	
k9zaSWSIjLo	20260503	【Cursed Companions】NGワードで即死！？喋らなかったらいける・・ほな得意か・・！ってダメでしょおお！【ホロライブ DEV_IS 響咲リオナ】	
n9ol3n-DlEU	20260502	【777TOWN.net | バジリスク～甲賀忍法帖～絆】終わりじゃ天膳！！【ホロライブ DEV_IS 響咲リオナ】	
xHppeNwIkS4	20260501	【ドラゴンボールZ KAKAROT】ついに本編最終回！？魔人ブウにどうやって勝つの！？【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
p1SCnxtlh5Q	20260430	【ドラゴンボールZ KAKAROT】完全初見！天下一武道会きたああああ🔥【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
QfHnRTGYRbg	20260430	【定期配信＃２９】木曜のお昼の１２時はリオナとランチ❤【ホロライブ DEV_IS 響咲リオナ】#リオナとランチ	
yy8equ4mud8	20260429	【ドラゴンボールZ KAKAROT】完全初見！ついに魔人ブウとご対面じゃっ🔥【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
ZTL2Ad_DGrc	20260428	【ぷちホロの村】のんびりスローライフ❤【ホロライブ DEV_IS 響咲リオナ】	
aaeWr1CxslI	20260422	深夜歌枠♡【ホロライブ DEV_IS 響咲リオナ】	
w95L4yjJ3mU	20260421	【#ハリポルーナ】ハリポルーナでREPO✨がんばるぞおおお❤【ホロライブ DEV_IS 響咲リオナ】	
NMmRajGG_MM	20260416	【定期配信＃２８】木曜のお昼の１２時はリオナとランチ❤【ホロライブ DEV_IS 響咲リオナ】#リオナとランチ	
2bYgCr3k3QY	20260415	【ドラゴンボールZ KAKAROT】完全初見！ついに開幕！せるげーーーーーむ！！【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
djcdtlW3N34	20260414	【#突発ホロREPO】参加させてくださああああああああああああああい【ホロライブ DEV_IS 響咲リオナ】	
jDZUYJZvI4Y	20260413	【ドラゴンボールZ KAKAROT】完全初見！超つよいセルどうしたら勝てるのお！？【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
dvC1sNJksUc	20260412	【ドラゴンボールZ KAKAROT】完全初見！配信予定【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
uBRy-xIqwl4	20260411	【Phasmophobia】幽霊調査っ♡先輩たち助けてええええ(´;ω;｀)【ホロライブ DEV_IS 響咲リオナ】	
DlsQkKbQUoM	20260408	【歌枠】とにかく歌が歌いたいんじゃああああああ💛【ホロライブ DEV_IS 響咲リオナ】	
0IPpYvQY_EQ	20260408	【#NELLマットレス】響咲リオナのNELLコイルフトンと過ごしてみた！？【ホロライブ DEV_IS 響咲リオナ】	
UNXOwVH14_k	20260407	【ドラゴンボールZ KAKAROT】完全初見！お父さん来るの！？新キャラ盛りだくさんの予感🌟【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
6vwbJZNZjvo	20260406	【ドラゴンボールZ KAKAROT】完全初見！ギニュー特戦隊強そうなんですがーー！？【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
MKdLbdJTFig	20260405	【 Minecraft 】ゲリラマイクラ！ホロ鯖久しぶりにお散歩する🎵【ホロライブ DEV_IS 響咲リオナ】	
LRt46p5qKoc	20260403	【ドラゴンボールZ KAKAROT】完全初見！配信予定【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
Iz41vgx1lwc	20260402	【定期配信＃２７】木曜のお昼の１２時はリオナとランチ❤【ホロライブ DEV_IS 響咲リオナ】#リオナとランチ	
70HiuJmtmKI	20260401	【ドラゴンボールZ KAKAROT】完全初見！俺の悟飯よ・・待っててくれっ！【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり	
Y-G22404fIo	20260331	【縦型朝活】おはりおなっ❤今日から新生活の人もいるのかな！？お見送りするよ♪【ホロライブ DEV_IS 響咲リオナ】	
9_-JwXshO8Y	20260330	【３D歌枠🎤】３月のソロセルフブース３Ｄ歌枠です❤【ホロライブ DEV_IS 響咲リオナ】	
FpQBT4OcQT0	20260329	【Log Riders】まつりおなで協力ゲー！丸太を転がします♡【ホロライブ DEV_IS 響咲リオナ 夏色まつり】	
