video_id	upload_date	title	flagged
dhWKQkENAHo	20260521	【単発ゲーム】名探偵と解く。ある猟奇殺人犯の愛読書 ※ネタバレを含みます【一条莉々華/hololive DEV_IS　ReGLOSS】	
vb8Sq4eipaI	20260520	【魔王城ものがたり】星5耐久でクリアするぞ！！！世界潰すよ～✋【一条莉々華/hololive DEV_IS ReGLOSS】	1
zikAYxn-vx0	20260519	【魔王城ものがたり】ホロメン力を貸して！！世界潰すよ～✋【一条莉々華/hololive DEV_IS ReGLOSS】	
gA1hZwtTVmo	20260518	【定期雑談】人生初の鍼に挑戦したらトンデモなかった！#32 【一条莉々華/hololive DEV_IS　ReGLOSS】	
GAAEQ_6KuSk	20260517	【魔王城ものがたり】じゃ、いっちょ世界潰しちゃいますか✋【一条莉々華/hololive DEV_IS ReGLOSS】	
jbYi1-vMOAM	20260516	【ポケモンチャンピオンズ】ぺこら先輩とタイマンコラボ✨ポケモンパンから出たポケモンだけで対決だあああ！！【#hololive #兎田ぺこら #一条莉々華】	
ToasHXcxGsU	20260516	【スパチャ読み】お礼枠！！です！！！！【一条莉々華/hololive DEV_IS ReGLOSS】	
b16EFJhIiHc	20260514	【#一条莉々華生誕祭2026】生誕振り返りトークするよ～！！【一条莉々華/hololive DEV_IS　ReGLOSS】	
6QWOPkFKtmE	20260512	【#一条莉々華生誕祭2026】ドキドキホロデスゲームの開幕です【一条莉々華/hololive DEV_IS　ReGLOSS】	
3bpvjKXsros	20260511	【#一条莉々華生誕祭2026前夜祭】一緒に乾杯しよおおおおおおおおおお【一条莉々華/hololive DEV_IS ReGLOSS】	
oGciVad2ra0	20260510	【ポケモンチャンピオンズ】検索：プテラを倒す方法 ダブルバトルでマスター行きたい～～！【一条莉々華/hololive DEV_IS ReGLOSS】	
74OhTenzzao	20260509	【PRAGMATA】クリア後の世界！unknown signal編！高難易度らしい…。part4 ※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】	
eghAqE7m258	20260508	【重大告知有!!】光の色で味が変わる、奇跡の日本酒ILLUMINA（イルミナ）。吞み比べオフコラボ!!【#りりらでん /hololive DEV_IS ReGLOSS】	
6SRqM2kDdlE	20260507	【Slay the Spire 2】#にじホロスレスパ✨初めましてでもクリアできる！？【一条莉々華/hololive DEV_IS　ReGLOSS】	
5poAmvt2SeY	20260506	【PRAGMATA】クリア後の世界！unknown signal編！高難易度らしい…。part4 ※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】	
yOJd3m71nFU	20260505	【PRAGMATA】クリアまで！カプコン最新作！一緒に素敵なストーリーに感動したい…！！part3 ※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】	
wfCbPBF2ssI	20260504	【検証してみた】全10種✨生で食べて一番美味しいソーセージはどれ？？？【一条莉々華/hololive DEV_IS ReGLOSS】	
WWBbuKFdcds	20260503	【PRAGMATA】カプコン最新作！一緒に素敵なストーリーに感動したい…！！part2 ※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】	
_PEhwnuuL10	20260502	【PRAGMATA】カプコン最新作！一緒に素敵なストーリーに感動したい…！！※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】	
nzmQz7xFHzg	20260501	【holoIndie応援大使】INDIE Live Expo 2026から沢山ゲームをいただいたからDEV_ISにプレゼントだ！！【一条莉々華/hololive DEV_IS ReGLOSS】	
M3sMm88VG3c	20260429	【ポケモンチャンピオンズ】ダブルやったことない！！！！教えて！！！！【一条莉々華/hololive DEV_IS ReGLOSS】	
bwZsbabxx9c	20260428	【Shadowverse: Worlds Beyond】ガチャ→ランクれっつごー！シャドバ新環境きたあああああああああ！！！【一条莉々華/hololive DEV_IS　ReGLOSS】	
DP20B1wUQwc	20260427	【都こんぶサワー！？】話題のお酒！！一体どんな味がするの…？正直レビューする！！！【一条莉々華/hololive DEV_IS　ReGLOSS】	
8IVO8Gcob6E	20260427	【デュエルマスターズ プレイス】デュエプレと初コラボ！！奏とバトルだ～～！！【一条莉々華/hololive DEV_IS ReGLOSS】	
vphPwle3sZg	20260425	【漢字でGO!】漢検1級レベル！？クリア耐久！！！！【一条莉々華/hololive DEV_IS　ReGLOSS】	1
ECHvXHzr9RE	20260424	【ギャルホラゲ】夜勤清掃、おもしろそ～じゃ～ん❤【一条莉々華/hololive DEV_IS　ReGLOSS】	
07o26Oslcwc	20260423	【Slay the Spire 2】先輩達とはじめてのマルチコラボ！！✨【一条莉々華/hololive DEV_IS　ReGLOSS】	
gX-DbRL337Q	20260422	【Slay the Spire 2】全てを破滅させる、ネクロバインダーの使い方【一条莉々華/hololive DEV_IS　ReGLOSS】	
sYjDql19XwI	20260420	【歌枠 Singing】チルバラード歌枠【一条莉々華/hololive DEV_IS　ReGLOSS】	
9FGw9FTrltY	20260419	【漢字でGO!】自認ジーニアスなので激ムズぐらい余裕です（成功経験なし）【一条莉々華/hololive DEV_IS　ReGLOSS】	
VHzjNYM-3NY	20260418	【Slay the Spire 2】初めてのA10を死ぬ気でプレイする…！！！【一条莉々華/hololive DEV_IS　ReGLOSS】	
S2f61lfPFKE	20260417	【りりはじはあります。】『みつめ』お互い別視点で、異変を探せ…！？【一条莉々華/hololive DEV_IS　ReGLOSS】	
R7RD_-evcsE	20260417	🌃フリーチャット ＆ スケジュール🌃	
PuNqI7oi0K4	20260416	【いえのあじ】ご飯を残すと…ね？最恐ホラーゲームらしい…。【一条莉々華/hololive DEV_IS　ReGLOSS】	
agw64puy5w4	20260414	【ポケモンチャンピオンズ】ポケモンパンから出たポケモンだけでランクマッチどこまでいけるんですか！？DAY2【一条莉々華/hololive DEV_IS ReGLOSS】	
YZ2vGpXAGpQ	20260413	【定期雑談】まったりおしゃべり～の時間なわけ～！！！！#31 【一条莉々華/hololive DEV_IS　ReGLOSS】	
5ix379uODQ4	20260412	【ポケモンチャンピオンズ】ポケモンパンから出たポケモンだけでランクマッチどこまでいけるんですか！？【一条莉々華/hololive DEV_IS ReGLOSS】	
1kkGtNz48Dw	20260409	【修行マイクラ】RTA走者の神ルートを初心者がやると何回死ぬのか検証してみた【#風真いろは #一条莉々華/hololive DEV_IS ReGLOSS】	
CYbcah8fvKo	20260408	【3D #ホロ酔い部】性癖暴露とかしたい（願望）ガチ本音トーク！？最初に壊れるのは誰？【一条莉々華/hololive DEV_IS ReGLOSS】	
PJL7nQ2rL7U	20260406	【月曜日定期雑談】アメリカ流！？バズってるピーナッツコーラ＆NOPE検証してみる！！！【一条莉々華/hololive DEV_IS　ReGLOSS】	
pTR5mNxylpI	20260404	【トモコレシリーズ初プレイ】第二、第三の犠牲者が今日決まる…！？―――【一条莉々華/hololive DEV_IS　ReGLOSS】	
c1933DkeJs8	20260403	【修行マイクラ】RTA走者の鬼畜ルートを初心者がやると何回死ぬのか検証してみた【#風真いろは #一条莉々華/hololive DEV_IS ReGLOSS】	
Fw9dmVHDCf8	20260401	【エイプリルフール企画】せいそちゃんとお歌【一条莉々華/hololive DEV_IS　ReGLOSS】	
wQrihll2lN0	20260331	【トモコレシリーズ初プレイ】トモダチコレクションわくわく生活の体験版でホロメンを産もう【一条莉々華/hololive DEV_IS　ReGLOSS】	
V5Jc46iMxW4	20260330	【定期雑談】 た～だいま～の波動！今日もお疲れ様委員会！！！！！！！！！#29一条莉々華/hololive DEV_IS　ReGLOSS】	
Np7qLDdZcXQ	20260319	【後編】ネタバレが激しすぎるＲＰＧ２―親友の真の姿は大魔王―【一条莉々華/hololive DEV_IS　ReGLOSS】	
kHnrmqqP6f4	20260318	【前編】ネタバレが激しすぎるＲＰＧ２―親友の真の姿は大魔王―【一条莉々華/hololive DEV_IS　ReGLOSS】	
qK2hI_8HAWA	20260317	【Slay the Spire 2】神ゲー市場調査だあああああい！【一条莉々華/hololive DEV_IS　ReGLOSS】	
7SP-EfBXah0	20260316	【定期雑談】 読書の冬！！！！！！！！#28【一条莉々華/hololive DEV_IS　ReGLOSS】	
u2fXY6S8hUE	20260314	【死んだら終了】ハードコアマイクラでネザーに下見に行く会ブレイズ編【一条莉々華/hololive DEV_IS　ReGLOSS】	
eWGoURnBQOk	20260313	【Shadowverse: Worlds Beyond】Custom Rule Cup 本番✨シャドバに新システムで遊びます！【一条莉々華/hololive DEV_IS ReGLOSS】	
xO7ZUakuErM	20260312	【Shadowverse: Worlds Beyond】Custom Rule Cupに向けて面白デッキを作る！参加型もあるよ～！【一条莉々華/hololive DEV_IS ReGLOSS】	
aidChFr9crI	20260311	【死んだら終了】ハードコアマイクラでネザーに下見に行く会【一条莉々華/hololive DEV_IS　ReGLOSS】	
