video_id	upload_date	title	flagged
_fyFFIrvEGk	20260523	【歌枠／KARAOKE】縦型雑談と歌枠〜💙❕【水宮枢／ホロライブDEV_IS】	
TqeKRnUPbsg	20260522	【BLEACH Rebirth of Souls】完全初見 どんな話なんだ…！#14【水宮枢／ホロライブDEV_IS】	
toi86S-iDBw	20260521	【トモダチコレクション】すうがみてる島#３【水宮枢／ホロライブDEV_IS】	
x7YdU9p7LL0	20260520	【ウマ娘プリティーダービー】完全初見#16 新人トレーナ✨️メイン編【水宮枢／ホロライブDEV_IS】	
nOcCd0Tr3i8	20260519	【いえのあじ】ホラーが苦手な約束守るいい子です✋【水宮枢／ホロライブDEV_IS】	
h1XtDTmf38o	20260518	【BLEACH Rebirth of Souls】完全初見 どんな話なんだ…！#13【水宮枢／ホロライブDEV_IS】	
WPeAXgTteSc	20260517	【ウマ娘プリティーダービー】完全初見#15 新人トレーナ✨️メイン編【水宮枢／ホロライブDEV_IS】	
n8SrwbRprrc	20260514	【百尺様】本当にホラーじゃないんですか？！？【水宮枢／ホロライブDEV_IS】	
x2K2cF8erjI	20260511	【BLEACH Rebirth of Souls】完全初見 どんな話なんだ…！#12【水宮枢／ホロライブDEV_IS】	
OVnJf0WGIfk	20260510	【ウマ娘プリティーダービー】season２完全初見アニメ同時視聴💙#５【水宮枢／ホロライブDEV_IS】	
L9ZuozffRh8	20260509	【BLEACH Rebirth of Souls】完全初見 どんな話なんだ…！#11【水宮枢／ホロライブDEV_IS】	
6MSPjyahjcM	20260506	【雑談／freetalk】縦型雑談〜❕【水宮枢／ホロライブDEV_IS】	
Cv4IPLqU2xM	20260505	【ウマ娘プリティーダービー】完全初見#1４ 新人トレーナ✨️メイン編【水宮枢／ホロライブDEV_IS】	
f3pSug27sbE	20260504	【BLEACH Rebirth of Souls】完全初見 どんな話なんだ…！#10【水宮枢／ホロライブDEV_IS】	
7ZjHPXhPdXw	20260503	【歌枠 KARAOKE】縦型歌雑談〜❕【水宮枢／ホロライブDEV_IS】	
oIcwg8EiL3k	20260501	【ウマ娘プリティーダービー】完全初見#13 新人トレーナ✨️育成編【水宮枢／ホロライブDEV_IS】	
