video_id	upload_date	title	flagged
mXR4JjljIvU	20260515	【BIOHAZARD requiem】※ネタバレあり‼久しぶりにバイオしてゆく‼💥【星街すいせい / #ほしまちすたじお】	
3etiI2ce098	20260514	【R.E.P.O】#不知火建設 出勤！みんなでれぽ【星街すいせい / #ほしまちすたじお】	
rUwgQP6jOHE	20260503	【 Cursed Companions 】隠されたNGワードを避けながら呪文を唱えてダンジョン攻略するゲーム【星街すいせい / #ほしまちすたじお】	
DLZ1GDTKQ9I	20260430	【Shadowverse: Worlds Beyond】新弾が来て右も左もわからないので教えろくださいの会【星街すいせい / #ほしまちすたじお】	
4S0B8hbqkd8	20260429	【海外行ってきた】近況報告雑談‼✨【星街すいせい / #ほしまちすたじお】	
jDcMwfEf2A0	20260419	【✨USJロケ✨ 】miCometでUSJクールジャパンを堪能してきました！🌸☄️【#miComet】	
c2NL4EnaXj8	20260417	【3Dで大集合✨】#HoshimaticProject 再始動‼️みんなでMV撮影に挑戦⁉️📸	
HpP6KdeJx7E	20260414	【歌枠 / 告知アリ】久しぶりのホロオリ曲縛り‼ 【星街すいせい】	
sWgYODrHk7o	20260408	言いたいことがあるんだよ！やっぱり●●───【星街すいせい】	
b-P-wuUEUeQ	20260324	【テトリス99】初心に帰ってテトリスをやろう🎮【星街すいせい】	
yDKzhigmlDI	20260323	【雑談】StudioSTELLARの星街すいせいです☄☄☄	
Jz2xEfAjC8Y	20260322	【8周年アコースティックLIVE】#星街すいせい重大発表LIVE	1
jVogB33eEEA	20260321	【生誕カウントダウン】みんなでカウントダウンしよ‼ もう18.8歳かあ～～【ホロライブ / 星街すいせい】	
rmZIQK5YOnY	20260316	【Poppy Playtime - Chapter 5】おまえ、見覚えがあるぞ。。。【ホロライブ / 星街すいせい】	
sUindapbZck	20260314	【ぽこ あ ポケモン】はまりすぎてクリアしてしまったのですが見てください。【ホロライブ / 星街すいせい】	
3GUq5ukIsIQ	20260308	7th fesお疲れ様でした!! アフタートーク🎤✨【ホロライブ / 星街すいせい】	1
f235tXGD2z4	20260222	ソロライブ打ち上げアフタートーク🍾🎤✨REBOOT衣装のお披露目も……⁉【ホロライブ / 星街すいせい】	1
MX4G_JcdZPo	20260221	【チラ見せ】Hoshimachi Suisei Live "SuperNova: REBOOT"	
zUH_op63j54	20260214	【新衣装お披露目】miCometブランド🌸☄ お揃い衣装2nd‼ & VR凸待ち✨【ホロライブ / miComet】	1
f9bj20V0KHs	20260212	【 Fast Food Simulator 】急に蘇るバーガー店🍔店員募集中【ホロライブ / 星街すいせい】	
Yo4W6Cm9ILA	20260208	【Shadowverse: Worlds Beyond】リスナーと対戦‼前回からの成長を見せる時✨【ホロライブ / 星街すいせい】	
1dTqw5AF12Y	20260202	【雑談】近況はなしゅ【ホロライブ / 星街すいせい】	
RWI6YD-i3oo	20260126	【PLATEUP!】ゲーム祭りのルールでひとりRTA開催‼【ホロライブ / 星街すいせい】	
QntUo5P3nBY	20260124	【#ホロ新春ゲーム祭2026 / 花組】マリカワールドで勝つぞ！！🚙💨💨💨【ホロライブ / 星街すいせい】	
Rop3hoatYis	20260117	【ホロガード】ホロライブ所属して7年目……偽物など一瞬で分かります【ホロライブ / 星街すいせい】	
uMV2XSmOmoY	20260110	【MIMESIS】AIか人間か、華麗に見抜いてゆく🐶【ホロライブ / 星街すいせい】	
wWQ-1457Jns	20260108	利用規約に同意するRTA【ホロライブ / 星街すいせい】	
2qIh_LaYQMY	20260107	お年玉ルーレット凸待ち🎍【ホロライブ / 星街すいせい】	
