video_id	upload_date	title	flagged
RXfvg_uJqQM	20260523	【 R.E.P.O 】わため先輩とR.E.P.O.！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
BDLLhRpeC-I	20260523	【 R.E.P.O 】静かに！RE 先輩についていくR.E.P.O.！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
X3AadLUgub8	20260523	【 ASMR /KU100 】お試しメンバー限定！５月病を吹き飛ばすASMR！みんなに元気あげる！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
El35UfyGQYM	20260522	【The Henry Stickmin Collection】選択で変わる！？パロディネタだらけの棒人間ゲーム！#2【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
P7YJl1wg02g	20260521	【 3Dコラボ 】VR！最恐ホラゲー Home Sweet Homeに枢ヴィヴィで挑戦！！ 【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
xp8neUBUXHk	20260520	【The Henry Stickmin Collection】選択で変わる！？パロディネタだらけの棒人間ゲーム！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
aK3LZmLeAEY	20260519	【 R.E.P.O 】うるさくしないR.E.P.O.！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
06nUXzjUrQ0	20260519	【 スーパーマリオワールド 】完全初見！スペシャルコースクリア！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
6GC4xFAHoGo	20260518	【 R.E.P.O 】静かに！先輩についていくR.E.P.O.！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
6g_9FPUbp64	20260518	【 スーパーマリオワールド 】完全初見！スペシャルコースに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
Lbjf78-YB78	20260517	【いえのあじ】今年一怖いゲーム！？ひとりでできるもん…！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
u5-__C7Qm84	20260516	【 スーパーマリオワールド 】完全初見！スペシャルコースに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
9fc0aZPbFAo	20260515	【 バイオハザード レクイエム 】追加DLC！Biohazard Requiem※ネタバレ注意【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
JWumNf03kqc	20260514	【ワンワンバトル】リスナーVSヴィヴィ【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
p10HUmvmrfc	20260513	【 スーパーマリオワールド 】真最終回！完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
MFmVVza7J3c	20260512	【 R.E.P.O. 】＃ホロREPO 静かに先輩についていく…RE！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
qMWfxl25nLk	20260512	【 スーパーマリオワールド 】最終回！完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
eRl_c5jkWJs	20260511	【 R.E.P.O. 】静かに…！先輩についていく！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
9mRwBLqQRsA	20260511	【ぷちホロの村 - 剣とお店と田舎暮らし】伝説の農婦のクワを求めて…！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
U4JPIg9oNyo	20260510	【 R.E.P.O. 】先輩についていく…！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
11-8iq6CdT8	20260510	【 スーパーマリオワールド 】最終回！？完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
fXcxf5bQ-B4	20260509	【 悪意 Dread Neighbor 】トラウマ級ホラーゲーム凶寓チームの最新作！！今度こそクリアする・・・！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
3chWVfPbMfU	20260508	【#ホロREPO】久しぶりR.E.P.O.ヴィヴィ戦力外です！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
31VxYoKdxnY	20260507	【 DREAD FLATS 凶寓 】続編！？今年一怖い最恐ホラゲー！REヴィヴィりながら頑張る・・・！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
YgQKd7DjLr8	20260506	【 スーパーマリオワールド 】最終回！？完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
5p3DPISYkeA	20260505	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
XKl0E-rJXNg	20260505	【＃無礼講アモアス】Among Us楽しむぞおおおおお【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
ZpZormuECDc	20260505	【 お知らせあり…！ 】くまヴィヴィといっしょ！VRChat【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
J0OSvcnEdZY	20260504	【 スーパーマリオワールド 】完全初見！ついにクリア！？初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
yS4gAAQ2l4w	20260503	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
mh6ZtcOV5Rw	20260502	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
0d3uw7oMThw	20260502	【PsychoBreak 2/サイコブレイク２】完全初見！精神崩壊大絶叫…【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
EgihHV_7KqM	20260501	【 3Dカラオケ 】ちはヴィヴィ初めてのカラオケ！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
NLWhlp3ZQzc	20260430	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
yRF7PCzeXwg	20260429	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
2PcZmEIBZCo	20260428	【 同時視聴 】名探偵コナン ハロウィンの花嫁見る！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
Qx7uOTzdrZI	20260428	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
TO2ujFxk1Kk	20260427	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
DRs3y6qfS7Q	20260426	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
35wDEg2ibfw	20260425	【PsychoBreak 2/サイコブレイク２】完全初見！精神崩壊大絶叫…【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
aOO06lRjhpI	20260424	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
ZGmEf5ocEXs	20260423	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
rRfDJH3JENc	20260422	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
CJ9VuMMP7m4	20260421	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
HkDmwM1i7Xk	20260420	【 メンバー限定 】秘密のここだけ話！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
_iegY9YzgGs	20260420	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
QgehQ0uvly0	20260419	【U-NEXTプレミアリーグ ウォッチパーティー】同時視聴！マンチェスター・C vs アーセナル戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
Z6kNYqtIdXU	20260419	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
LUUVMIrxdEU	20260418	【PsychoBreak 2/サイコブレイク２】完全初見！精神崩壊大絶叫…【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
d_0pxhKK-Ks	20260417	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
qcgwSp6BxvM	20260416	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
lA-xloTnvvM	20260415	【 夜勤清掃 】怖すぎるビルの清掃します・・・！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
Fso5EqaAg28	20260414	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
fq-q71fQ61M	20260413	【ヴィヴィ視点】ぺこら先輩と協力して爆弾解除！？Keep Talking and Nobody Explodes【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
yPQ0cqc1BdA	20260413	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
K-ZoSsVIelQ	20260412	【 バイオハザードRE4 】初めてのバイオハザードRE4に挑戦！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
Mpo5kEUnuyQ	20260411	【 バイオハザードRE4 】初めてのバイオハザードRE4に挑戦！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
qcLkT_cek7Y	20260410	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】	
