video_id	upload_date	title	flagged
3RtcZpd0fPY	20260523	【 R.E.P.O. 】ソロかもしれないし、ソロじゃないかもしれない！【角巻わため/ホロライブ４期生】	
fKgfp1jEMi0	20260521	【 R.E.P.O. 】今日は、REPOが.........................ありま.....あああああす！！！【角巻わため/ホロライブ４期生】	
ILetk_FQcy0	20260520	【 クロノ・トリガー 】完全初見！マルチエンド回収の旅＆Lv.99スペッキオ！！ #番外編最終回【角巻わため/ホロライブ４期生】※ネタバレあり	
aU3SOPOCIvw	20260519	【 トモダチコレクション わくわく生活 】新しい仲間（フブちゃん）参戦！今日はういちゃん作る！！【角巻わため/ホロライブ４期生】	
hsLHJyPDDRg	20260518	【 クロノ・トリガー 】完全初見！マルチエンド回収の旅！！ #番外編3【角巻わため/ホロライブ４期生】※ネタバレあり	
1T53vimbwUU	20260517	【 R.E.P.O. 】REPO妖怪達が、初めてのLv.20 スーパームーンに挑む！！！【角巻わため/ホロライブ４期生】	
3MrxDLj2fOw	20260516	【雑談＆お礼】新衣装だったりガンダムだったり嬉しいね！【角巻わため/ホロライブ４期生】	
coqk7GVG_zc	20260515	【 R.E.P.O. 】REPO妖怪達のお通りだ！！【角巻わため/ホロライブ４期生】	
fpAghP4E344	20260513	【 R.E.P.O. 】ご褒美REPOきちゃー！！！今日はおやすまない羊【角巻わため/ホロライブ４期生】	
ahmDnSLDFdI	20260511	【 R.E.P.O. 】コスメティックビューティーわため、途中参戦予定地！【角巻わため/ホロライブ４期生】	
MylYbHlKqAM	20260511	【世界のアソビ大全51】一体どうなっちまうんだ？！ルドーやるどー！【角巻わため/ホロライブ４期生】	
fzLjFXgHZNk	20260510	【 R.E.P.O. 】アプデが来た！コスメティックというものがあるらしい！【角巻わため/ホロライブ４期生】	
USYp3Q3JR_E	20260510	【 #角巻わため新衣装2026 】めちゃくちゃ可愛い衣装をお披露目！NEW OUTFIT🐏✨【角巻わため/ホロライブ４期生】	1
g8ulCCpc6WU	20260507	【雑談＆お礼】金ビキニの次は何ビキニが来るんだろう？？【角巻わため/ホロライブ４期生】	
2xyaIHRQIaI	20260506	【 Cursed Companions 】NGワードを言ってはいけないよ、絶対だよ【角巻わため/ホロライブ４期生】	
fAcT-LezxAY	20260505	【歌枠】告知あり！第１３４回！わためぇ Night Fever!! Singing Stream🎤🎶【角巻わため/ホロライブ４期生】	
c0MLy6bxJMs	20260429	【 クロノ・トリガー 】完全初見！マルチエンド回収の旅！！（ED6～ED9まで回収） #番外編2【角巻わため/ホロライブ４期生】※ネタバレあり	
DQu1OVL7Bfs	20260428	【 クロノ・トリガー 】完全初見！マルチエンド回収行くか...？！（ED3～ED5まで回収） #番外編1【角巻わため/ホロライブ４期生】※ネタバレあり	
eyMNTLaE-Kg	20260426	【 ぷちホロの村 - 剣とお店と田舎暮らし 】このゲームをプレイする夢を見たんだ【角巻わため/ホロライブ４期生】	
cYGZzov8fU0	20260424	【 クロノ・トリガー 】完全初見！ついに名作に触れるひつじ... #最終回 【角巻わため/ホロライブ４期生】※ネタバレあり	
Fn1x0ifIWFU	20260423	【 トモダチコレクション わくわく生活 】初めてのトモコレ生活！！！【角巻わため/ホロライブ４期生】	
Z60F5BoPcJw	20260422	【 クロノ・トリガー 】完全初見！ついに名作に触れるひつじ... #9【角巻わため/ホロライブ４期生】※ネタバレあり	
m24j8DIW0vo	20260420	【 クロノ・トリガー 】完全初見！ついに名作に触れるひつじ... #8【角巻わため/ホロライブ４期生】※ネタバレあり	
lHB9hYMAsAA	20260419	【雑談＆お礼】お茶を飲んでる羊の性格は、なーんだ！！【角巻わため/ホロライブ４期生】	
