video_id	upload_date	title
T08uC1Mx5BY	20260509	【歌枠】うたう！！！！！！！！！！！Singing Stream【ホロライブ / AZKi】
uMz2LRXL0oE	20260424	【BIOHAZARD RE:3】完全初見！バイオハザード RE:3 #1【ホロライブ / AZKi】
euQT3W3Yep4	20260413	【歌枠】月曜の夜にしっとり歌います🌙ピアノ歌枠 Piano Singing Stream【ホロライブ / AZKi】
CgoCvXIgF1A	20260403	【GeoGuessr】沖縄県MAPでシーサー出たら即終了【ホロライブ / AZKi】
VYC5l-_zAuo	20260329	【Euro Truck Simulator 2】日本MAP Project Japan MODで日本の道路を走ろう【ホロライブ / AZKi】
dO-3yy1xaTQ	20260319	【Green Light】やなぎなぎさんの音楽と物語が紡ぐ短編ADV【ホロライブ / AZKi】
oE8-fuCzWWw	20260318	【三ツ星ファーム】実食！ミシュラン級の味がレンジ5分で食べられる！？【ホロライブ / AZKi】
L3V2ifVy5bw	20260316	【歌枠】春に聴きたい曲！歌う～～～！！！J-POP・アニソン・ボカロ Singing Stream【ホロライブ / AZKi】
ykK4KAuGKI4	20260310	【クロックタワー・リワインド】完全初見！名作ホラー「クロックタワー」に挑戦【ホロライブ / AZKi】
h_FMW4cytWk	20260303	【ネタバレが激しすぎるＲＰＧ―最後の敵の正体は勇者の父―】ラスボスは一体誰なんだ…【ホロライブ / AZKi】
