video_id	upload_date	title
ShtXdHnkFYg	20260509	【デッドライジング3】#01 ゾンビ無双みたび！巨大都市から72時間以内に脱出せよ⚠️ネタバレ注意－Dead Rising 3【獅白ぼたん/ホロライブ】
bNse4VN_llU	20260508	【雑談】いろいろ話そ～！企画の話とか最近の話とかも振り返りたいね😋【獅白ぼたん/ホロライブ】
Bnw7zqnTfzY	20260502	【バイオハザード レクイエム】4時間以内クリアを目指す！（スピードマスターRTA）⚠️ネタバレ注意【獅白ぼたん/ホロライブ】
6-jlfo7H3zo	20260418	【PRAGMATA】＃01 月から地球への帰還を目指す冒険、新感覚SFアクション！－プラグマタ（※ネタバレ注意）【獅白ぼたん/ホロライブ】
ZxCEn6MMLxs	20260405	【Last Man Sitting】オフィスチェアに乗ってハチャメチャに戦うゲーム【獅白ぼたん/ホロライブ】
hjda5swaO0o	20260404	【Warframe】まだ忍者なら無料なんですか？（数年ぶりのプレイ）【獅白ぼたん/ホロライブ】
FIOIuMA-yC8	20260401	【増えた？！】三等分の獅白ぼたん【獅白ぼたん/ホロライブ】
TLzh2pNkN54	20260329	え！！物理演算でラーメンを？！－Ramen Simulator（DEMO版）【獅白ぼたん/ホロライブ】
4EpXfJUL_K8	20260328	【紅の砂漠】超話題作！二刀流に挑戦していく！⚔️【獅白ぼたん/ホロライブ】
KcVSEELVJ-8	20260328	【R.E.P.O.】観戦モードで2人を見守るのが一番楽しいのでは？ししろは考えた【獅白ぼたん/ホロライブ】
