video_id	upload_date	title
NXXIYc9hr_o	20260508	【機動戦士ガンダム 0083 STARDUST MEMORY】1年戦争のその後？？？完全初見だ～～！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
3WyP7trUfMM	20260506	【ガンプラ/カメラあり】ユニコーン！！！！！！つくっていく！ 【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
8dlUlNZeMeI	20260502	【F1® 25】マイアミGP予選まではしる！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
Xchrs1a-99Y	20260427	【首都高バトル】ひさびさに首都高行こうぜ～～～【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
tZg96ZCCQFc	20260426	【競馬/フローラS＆マイラーズC】今日こそ勝！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
vnTs6rJY7q8	20260424	【機動戦士ガンダム 第08MS小隊】完全初見だ！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
9IoSRRrZN6Y	20260419	【競馬/皐月賞】今日こそ勝！！！！！！！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
GfalF8Cx7TM	20260418	【DARK SOULS III】#1 また火を継ぎにいくぞ！！！！！※ネタバレ注意【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
HTDbJmNy03U	20260418	【ギター練習】ゆるっとギター練習【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
0Wg2sCE0cBI	20260417	【機動戦士ガンダム THE ORIGIN】初めてのオリジン！！！【#輪堂千速 / #hololivedev_is  #FLOWGLOW 】
