video_id	upload_date	title
0f1_eloQSXQ	20260510	【ポケモンファイアレッド】　FR版ポケットモンスターゴールドコイキング　購入編　#金コイフブさん【白上フブキ/ホロライブ】
v4dE50Rlb_I	20260510	【R.E.P.O.】ソロREPOでコスメティックガチャする配信。 【ホロライブ/白上フブキ】
qUZH79FoT-k	20260429	【FINAL FANTASY XIV】ガンブレララ狐と黄金のレガシー patch7.5　※ネタバレあり※ 【ホロライブ/白上フブキ】
mLNyIp72Nvo	20260425	【 Slay the Spire 2 】　A5が超えられないリージェント様とワイ　【白上フブキ/ホロライブ】
2wpT2D0rI4o	20260422	【 school666 】え？？？？？？？異変ですか？？？？？？？？？　【白上フブキ/ホロライブ】
j2xspEj4Rrc	20260417	【アークナイツエンドフィールド 】ゾアンさん…メロいよな…試遊していくぅ！！！【白上フブキ/ホロライブ】
WFvBqhlOb3Q	20260416	【トモダチコレクション】ホロエンタメランドわくわくあじまりの新生活　【白上フブキ/ホロライブ】
PkRqd5zzsDA	20260415	【Leaf it Alone】落ち葉を拾ってお片付けして綺麗にする。【白上フブキ/ホロライブ】
xojcGUMZNZ4	20260411	【Slay the Spire 2】アセンションをどんどん進めていくスレスパ【白上フブキ/ホロライブ】
Py0dhGfMZFk	20260409	【Slay the Spire 2】初見ディフェクトで登るスパイア！！！【白上フブキ/ホロライブ】
