video_id	upload_date	title
2gwEKGz7Uos	20260508	＃１【バイオハザード RE:4】完全初見で挑むバイオ【轟はじめ/ReGLOSS】※未成年の方視聴注意
yCVakJuei6k	20260504	【Supermarket Together】わしがこのスーパーをでかくする【轟はじめ/ReGLOSS】
0l5RpCdEtWQ	20260430	【いえのあじ】それってどんな味？【轟はじめ/ReGLOSS】
S7bjUzgO-bQ	20260428	【雑談】短めだけどお話しよ~！【轟はじめ/ReGLOSS】
mOHUwttMa2A	20260426	【鬼サザエトリ】ぼく、サザエとる【轟はじめ/ReGLOSS】
a8uTNNyjLOU	20260421	【R.E.P.O.】やんややんや言う担当です【轟はじめ】
SNZ4N36IQkY	20260418	前編【バイオハザードRE:3】初見でいくBIOHAZARD RE:3【轟はじめ】
UcQJnfOQppc	20260409	新曲を歌いたい∼！！【轟はじめ】
cAVJ8gjGjCQ	20260404	【夜勤清掃】深夜にお掃除ホラゲ【轟はじめ/ReGLOSS】
Hb_5TMGfMYQ	20260331	【nosh】勝手にはじめのハンバーググランプリ！！🏆【轟はじめ/ReGLOSS】
