video_id	upload_date	title
hxAVMW8hBHw	20260510	【経過報告】30分限定、先日より若返り小学生になった風真いろはさん【風真いろは/ホロライブ】
ARLHStsx8L8	20260509	【凸まち】30分限定この声にメロつけるやつ凸待ち【風真いろは/ホロライブ】
4PGB9t4V5no	20260503	【トモダチコレクション】～そうだ、楽園を作ろう～【風真いろは/ホロライブ】
J9NDlvkfIQM	20260502	【トモダチコレクション】シリーズ初プレイ！ゆる～い^^まちつくるぞ📍【風真いろは/ホロライブ】
TAj2-kZP--g	20260415	【雑談】色々ギリギリな人の久しぶり雑談💭1週間ほど配信おやすみ#shorts 【風真いろは/ホロライブ】
5Wk-v6ZDF-M	20260410	【雑談】話すこといっぱい💡holoXアルバム発売中だ～い♬【風真いろは/ホロライブ】
iFJ-TFFQ99g	20260331	来るな･･･早まるな4月･･･エイプリルフール･･･【風真いろは/ホロライブ】
YnnfxfTNivg	20260330	【ぽこあポケモン】効率マンによる💡一生できるらしいポケモンゲーム🌳DAY3【風真いろは/ホロライブ】
08fCJE2GAaw	20260325	【ついにきた】かわいい！でかい！最強ぽこべぇ来る🍃【風真いろは/ホロライブ】
waTViJID6UI	20260322	【ELDENRING】完全初見⚔DLCの世界にこんにちは✋【風真いろは/ホロライブ】※本配信はゲームのネタバレを含みます
