video_id	upload_date	title
EQpwsy6CQNE	20260510	【Love, Sam】絶対に騙されるホラーゲーム？！やってみる！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
k1FuIfIqKE0	20260503	【リトルナイトメア】この小さい子で、この世界どうやって生きるの…？完全初見！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS ※ネタバレあり
PcdE9HpQ1ZI	20260501	【パラソーシャル】久しぶりのホラゲー！！やってみるよ！！【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
WVT_ihqNZTg	20260428	【雑談】４月がおわっちゃううう【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
7gwCmRFAz9g	20260406	【Minecraft】１時間釣ったらなにが釣れる？【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
Ht66TLkWAYU	20260402	【雑談】お仕事から帰ってきた！ただいま～～【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
0319U-VVJ0w	20260317	【 雑談 】今日はおまえらとしゃべりたいんダナ【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
xMCXnSwR1bk	20260313	【 ぽこ あ ポケモン 】奏とおまえらのお家は建てません【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
fO2ejfMaS4Q	20260304	【 縦型歌枠 】REC帰りののんびり歌枠【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
bMy8CTm7PvU	20260226	【 雑談 】ビタミンCの錠剤ってビタミンみたいな味がするんですね【音乃瀬奏】#hololiveDEV_IS #ReGLOSS
