video_id	upload_date	title
AzEkVsro7z8	20260507	【ワンワンバトル】声のデカさ＆喉の強さでは負けません！！吠えて倒せ！！！わおーーーーん！！！【博衣こより/ホロライブ】
PPO43lOYItI	20260425	【プラグマタ】神ゲーと話題沸騰中！カプコンさん渾身の完全新作！土日でクリアする！！！ #1 【博衣こより/ホロライブ】※ネタバレを含みます
ekSJ0w35fbc	20260421	【アークナイツ：エンドフィールド】大型アプデきちゃ！！！ゾアン強くね！？？新ストーリー＆工業も気になるゾアン！【博衣こより/ホロライブ】
CkSd8u-sSvA	20260415	【ポケモンチャンピオンズ】初日チャンピオン級いけるか挑戦！？Pokémon Championsがんばるぞ！！～現在マスボⅣ～【博衣こより/ホロライブ】
gX609EqN2Kc	20260413	【ポケモンチャンピオンズ】目指せマスター！Pokémon Championsやるぞ！いろんなパーティ用意しました！！！～現在ハイボⅢ～【博衣こより/ホロライブ】
aP87r5v-udQ	20260409	【いえのあじ】異常に怖いらしい小学生が田舎で暮らすだけのホラーゲームをロリこよりがやります。【博衣こより/ホロライブ】
Qbl95G0cuxo	20260409	【ポケモンチャンピオンズ】ランクママスター級目指して！Pokémon Championsたのし～！！！～現在ハイボⅣ～【博衣こより/ホロライブ】
OStSjXQpZEE	20260408	【ポケモンチャンピオンズ】本日配信開始！ポケモン対戦にフィーチャーした新作Pokémon Championsやってみる！！！【博衣こより/ホロライブ】
NLfLNEqhv_U	20260406	【アークナイツ：エンドフィールド】最推しロッシたんを完凸するぞ！！！ガチャの時間だあああ🔥🔥🔥【博衣こより/ホロライブ】
AP5K-yS08rg	20260402	【トモコレ】生まれて初めてのトモコレ！『トモダチコレクション わくわく生活』体験版やってみる！！！【博衣こより/ホロライブ】
