video_id	upload_date	title
MZhj3fYQAkk	20260509	【 Detroit: Become Human 】完全初見！運命を選択し、自分の未来を紡げ。【鷹嶺ルイ/ホロライブ】
QUQ7R-oS1Ac	20260501	【 ドラゴンボールZ KAKAROT 】完全初見！GWだ～！！！DAIMA編だ～～～～～！！！【鷹嶺ルイ/ホロライブ】※ネタバレあり
7bn7zjsWDAk	20260426	【 フローラステークス＆マイラーズカップ 】今回も的中したい…‼【鷹嶺ルイ/ホロライブ】
oeQZuTW9JTA	20260426	【 香港チャンピオンズデー 】ジョバンニ応援します！！！！！！！！【鷹嶺ルイ/ホロライブ】
6uLqSab1vqs	20260421	【 いえのあじ 】最近肩こりがヤバいのでホラーで荒治療。※荒療治が正しいらしい【鷹嶺ルイ/ホロライブ】
RL_nN8Mg9ZM	20260419	【 皐月賞 】G1の的中率がわるいのでここで挽回したい・・・！！！【鷹嶺ルイ/ホロライブ】
BdP9i0LvBVU	20260414	【 ウマ娘 プリティーダービー 】アーモンドアイを初めて育成するぜ！！！【鷹嶺ルイ/ホロライブ】
B9p4sA2Xg4E	20260412	【 ドラゴンボールZ KAKAROT 】完全初見！トランクスの続きとサブクエ…そしてBARDOCK編【鷹嶺ルイ/ホロライブ】※ネタバレあり
mFSlzzsjK2A	20260412	【 桜花賞 】18頭の桜咲きほこる桜花賞。誰が満開の花を咲かれるのか⁉【鷹嶺ルイ/ホロライブ】
igEMlPCLXxc	20260411	【 ドラゴンボールZ KAKAROT 】完全初見！クリア後のサブクエとDLC『TRUNKS 希望の戦士』【鷹嶺ルイ/ホロライブ】※ネタバレあり
