video_id	upload_date	title
rtQHMVuZaoE	20260429	【カメラ有り実食】マリン船長の終わり散らかしてる食生活を救いにきた──三ツ星ファーム【ホロライブ/宝鐘マリン】
4b2bxpVgj64	20260418	【トモコレ】ちゃんと表情が動く可愛いキャラクリ講座！マリン爆モテ島を目指して──【ホロライブ/宝鐘マリン】
H1Z96LzzG7k	20260415	宝鐘マリン、乱れる───【ホロライブ/宝鐘マリン】
vXOrH7SFj2Y	20260412	【ウミガリ】この海、やばい─👻!!マリン船長、恐怖の出航──【ホロライブ/宝鐘マリン】
eaQF7rv7x0U	20260407	【トモコレ】爆モテ人生送りたいけどキャラクリに凝りすぎて始まらない予感がする【ホロライブ/宝鐘マリン】
cCHVKWvBpv0	20260214	【告知あり】マリン船長、大型アプデで美少女に磨きがかかってしまう──【ホロライブ/宝鐘マリン】
Qmbubo9yX8w	20260208	【＃ホロテラリア】ホロメンとゆく！どんどんみんな強くなるTerraria【ホロライブ/宝鐘マリン】
pzLVk2MoMkQ	20260207	【＃ホロテラリア】ホロメンとゆく！やりたいことが渋滞してるTerraria【ホロライブ/宝鐘マリン】
o6r_n6eC52w	20260128	【＃ホロテラリア】ホロメン6人で！あの伝説が帰ってくる──【ホロライブ/宝鐘マリン】
Er1YIT7q8Kk	20260118	I LOVE キミたぴ💘【ホロライブ/宝鐘マリン】
