video_id	upload_date	title
v2guaA92jGw	20260510	【ニチアサ】日曜日の朝に早起きできるのえらいっ！！【ホロライブ/夏色まつり】
PqwgUN9Br8s	20260507	【朝活】金曜日のおはよう☀【ホロライブ/夏色まつり】
X47vD2NDiZc	20260506	【朝活】おはよ～！早起きえらすぎ☀【ホロライブ/夏色まつり】
hQU04JauXGs	20260506	【朝活歌枠】GW明けの君へ！早起きえらいっ☀【ホロライブ/夏色まつり】
DX139lPvzv0	20260505	【歌枠】GWって最強だ。【ホロライブ/夏色まつり】
CTSc8KFzMnI	20260504	【歌枠】アイドル目指してすきを歌うッ♡【ホロライブ/夏色まつり】
4bEy0ErXGac	20260501	【朝活】はやおきえらああああああああい【ホロライブ/夏色まつり】
TE2V0e8k9KI	20260428	なんでおきてるの！！
fjpMX1qQsdo	20260425	【 HER TREES : THE PUZZLE HOUSE 】深夜のパズルタイム🌙【ホロライブ/夏色まつり】
-xeBTPuQyvw	20260423	おはよしてっ！
