video_id	upload_date	title
QlwnZjqCStY	20260423	【 トモダチコレクション 】結ばれたい結ばれたい結ばれたい【 桃鈴ねね / hololive 】
679JIWyZC8g	20260415	【 昼雑 】歯が痛いし今日歯医者なんだ、現実逃避【 桃鈴ねね / hololive 】
wSSs8fUL6mI	20260414	【 意見求む！】ホロメンで一番ガチ恋が多いのは誰だ？？？選手権【 桃鈴ねね / hololive 】
XSSyVM78eqc	20260408	【 晩酌 】酔ってれば鼻水出ない説※もう飲み始めてます【 桃鈴ねね / hololive 】
zHWz2lSYD7M	20260405	【 歌枠 】今年入って最初の歌枠っぽい！！！！！！！【 桃鈴ねね / hololive 】
k0wjlPe6Iwc	20260401	【 Only englishu 】I will be EN from today! let"s gooooo free talk!!!!!!【 Momosuzunene / hololive 】
hOY9qw8cVlc	20260326	【 雑談 】最近あったあれこれを話す会！【 桃鈴ねね / hololive 】
0QXwQLi-WAk	20260324	【meals】4月からの新生活はコレで決まり！！配信中に爆食い正直レビュー！！！【 桃鈴ねね / hololive 】
tsyt75cmm5s	20260320	【ぽこ あ ポケモン】今日も今日とてぽこぽこぽこ【 桃鈴ねね / hololive 】
N6IjINAqQTI	20260319	【 食レポ 】ゼンブブレッド博士に俺はなる！【桃鈴ねね/ホロライブ】
