video_id	upload_date	title
p4RLkIaw-Qc	20260502	#1【ドラゴンクエストVII Reimagined】DQ7完全初見！ずっとプレイしてみたかった7の世界へ🔥【白銀ノエル/ホロライブ】※ネタバレあり
7j_nNQ87Isc	20260427	【モンスターハンターストーリーズ3】脳筋女騎士！モンハンの世界へ🔥【白銀ノエル/ホロライブ】
PqL-XrEFOhU	20260426	【朝活雑談】日曜10時はさんでーまっする！今日はジゴロックVTR出演もあるよ～！【白銀ノエル/ホロライブ】
LkoKJnwF6c4	20260418	【鬼サザエトリ】大好きなネックビに癒されつつ...深夜にチル大潜水！【白銀ノエル/ホロライブ】
UMPC2IW3Dn0	20260417	【ぽこ あ ポケモン】病み上がりに適しているゲーム...そう、ぽこあ。【白銀ノエル/ホロライブ】
VAZRZXAlAKQ	20260414	【テレビ大分】地元からのお仕事！？うおーッ、頑張ります！【白銀ノエル/ホロライブ】【白銀ノエル/ホロライブ】
oY5h2i3rezw	20260412	【朝活雑談】2週間ぶりのさんま！先週末大分に帰省したよ～！(そのあと喉やっちまっ太郎でお休み花子💤)【白銀ノエル/ホロライブ】
4Dr0bWuE7wQ	20260412	【ASMR】病み上がり彼女による脳みそトロふわ安眠ASMR💊【白銀ノエル/ホロライブ】
aL46hWFdeKw	20260407	【ぽこ あ ポケモン】もっともっとポケモンに会いたいッ！開拓するぞ～！！【白銀ノエル/ホロライブ】
2KhanpxNNaA	20260331	【ぽこ あ ポケモン】前回からまったく進歩のない未発展ぽこあ～！！！【白銀ノエル/ホロライブ】
