video_id	upload_date	title
41vOdMBNhiU	20260507	【 DETROIT 】自分の選択が未来を変える⁉️アンドロイドと対話しよう✊#01【 猫又おかゆ/ホロライブ 】
hA_cmA-Wzvk	20260506	黄金をつかみ取れ──────
ubKmGP1jC3M	20260506	【 🟣言っちゃダメ 】禁句を喋ると命取り⁉️Cursed Companionで遊ぼう🤝✦【 猫又おかゆ視点/ホロライブ 】
wz89TnYZQ44	20260422	【 school666 】異変だらけの学校をみんなで脱出しよう🏫✦【 猫又おかゆ視点/ホロライブ 】
pjMmej87TXk	20260421	【 バイオハザード 0 HD REMASTER 】ゾンビかかって来なさ～～い！🧟#01【 猫又おかゆ/ホロライブ 】
2Y4rW9sOyfw	20260416	【 歌枠 】春ですわ～～～🎤✦【 猫又おかゆ/ホロライブ 】
1S7O3vh1oTU	20260414	【 マリオテニス 】新シーズン来ました🎾✦【 猫又おかゆ/ホロライブ 】
Ypb_44BHY9w	20260411	【 FF7 】完全初見🔥星の未来をかけて頑張ります！#01【 猫又おかゆ/ホロライブ 】※ネタバレあり
D0PuyuYKFbc	20260408	【 スーパーマリオブラザーズ2 】久しぶりにマリオやる～～～🍄✦【 猫又おかゆ/ホロライブ 】
plrRYDkQlEI	20260407	ら～めんつくるお (＾ω＾)🍜
