video_id	upload_date	title
V3O1QNnpfU8	20260508	【悪意 Dread Neighbor】ガチのマジで今年一怖いホラゲーが決まりそうです。ぺこ！【ホロライブ/兎田ぺこら】
N4v3_GaBbyw	20260507	【初見】友達が少ないウサギが『トモダチコレクション わくわく生活』で最高の島を作る！ぺこ！【ホロライブ/兎田ぺこら】
xi6dStJO7Uk	20260506	5億年ぶりの激レア雑談【ホロライブ/兎田ぺこら】
krvadwrRfag	20260503	【天皇賞(春)】2026年春の天皇賞で大勝する！！！！！！！！！！！！！！ぺこ！【ホロライブ/兎田ぺこら】
5BqO58Z8k9M	20260501	【凶寓 Dread Flats】ダントツで去年一怖いと言われていたホラーゲームの真相が明らかに…ぺこ！【ホロライブ/兎田ぺこら】
wtM_Azs1oA0	20260501	【ワンワンバトル】マイクに向かって吠えろ！そして勝て！！！！！！！！！！！！！ぺこ！【ホロライブ/兎田ぺこら】
43TPT54WmwA	20260429	【ラーメン】家系らーめん兎田家、本日開店です！！！！！！！！！！！！！ぺこ！【ホロライブ/兎田ぺこら】
ITsHoU8eIpI	20260428	【ガンプラ】初めての『HG 1/144 シャア専用ザク』作り！！！！！！！！！！！！！！ぺこ！【ホロライブ/兎田ぺこら】
uhZ27bLlc1A	20260425	【ぷちホロの村】ホロメンと過ごすスローライフの始まり！ぺこ！【ホロライブ/兎田ぺこら】
sZ-uZVuiKS8	20260423	【初見】アークナイツ：エンドフィールドやってみる！ぺこ！【ホロライブ/兎田ぺこら】
