video_id	upload_date	title
5fWFKEhWZgE	20260506	【Cursed Companions】NGワードで即死！？自滅だけはさけるんだっ！！【ホロライブ DEV_IS 響咲リオナ】
F9B7VI4uFMA	20260504	【ARK: Survival Ascended】初見ARK！恐竜さん見てみたい✨【ホロライブ DEV_IS 響咲リオナ】
n9ol3n-DlEU	20260502	【777TOWN.net | バジリスク～甲賀忍法帖～絆】終わりじゃ天膳！！【ホロライブ DEV_IS 響咲リオナ】
ZTL2Ad_DGrc	20260428	【ぷちホロの村】のんびりスローライフ❤【ホロライブ DEV_IS 響咲リオナ】
aaeWr1CxslI	20260422	深夜歌枠♡【ホロライブ DEV_IS 響咲リオナ】
2bYgCr3k3QY	20260415	【ドラゴンボールZ KAKAROT】完全初見！ついに開幕！せるげーーーーーむ！！【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり
dvC1sNJksUc	20260412	【ドラゴンボールZ KAKAROT】完全初見！配信予定【ホロライブ DEV_IS 響咲リオナ】※ネタバレあり
uBRy-xIqwl4	20260411	【Phasmophobia】幽霊調査っ♡先輩たち助けてええええ(´;ω;｀)【ホロライブ DEV_IS 響咲リオナ】
0IPpYvQY_EQ	20260408	【#NELLマットレス】響咲リオナのNELLコイルフトンと過ごしてみた！？【ホロライブ DEV_IS 響咲リオナ】
DlsQkKbQUoM	20260408	【歌枠】とにかく歌が歌いたいんじゃああああああ💛【ホロライブ DEV_IS 響咲リオナ】
