video_id	upload_date	title
wfCbPBF2ssI	20260504	【検証してみた】全10種✨生で食べて一番美味しいソーセージはどれ？？？【一条莉々華/hololive DEV_IS ReGLOSS】
_PEhwnuuL10	20260502	【PRAGMATA】カプコン最新作！一緒に素敵なストーリーに感動したい…！！※ネタバレ注意【一条莉々華/hololive DEV_IS ReGLOSS】
M3sMm88VG3c	20260429	【ポケモンチャンピオンズ】ダブルやったことない！！！！教えて！！！！【一条莉々華/hololive DEV_IS ReGLOSS】
bwZsbabxx9c	20260428	【Shadowverse: Worlds Beyond】ガチャ→ランクれっつごー！シャドバ新環境きたあああああああああ！！！【一条莉々華/hololive DEV_IS　ReGLOSS】
ECHvXHzr9RE	20260424	【ギャルホラゲ】夜勤清掃、おもしろそ～じゃ～ん❤【一条莉々華/hololive DEV_IS　ReGLOSS】
gX-DbRL337Q	20260422	【Slay the Spire 2】全てを破滅させる、ネクロバインダーの使い方【一条莉々華/hololive DEV_IS　ReGLOSS】
sYjDql19XwI	20260420	【歌枠 Singing】チルバラード歌枠【一条莉々華/hololive DEV_IS　ReGLOSS】
9FGw9FTrltY	20260419	【漢字でGO!】自認ジーニアスなので激ムズぐらい余裕です（成功経験なし）【一条莉々華/hololive DEV_IS　ReGLOSS】
VHzjNYM-3NY	20260418	【Slay the Spire 2】初めてのA10を死ぬ気でプレイする…！！！【一条莉々華/hololive DEV_IS　ReGLOSS】
PuNqI7oi0K4	20260416	【いえのあじ】ご飯を残すと…ね？最恐ホラーゲームらしい…。【一条莉々華/hololive DEV_IS　ReGLOSS】
