video_id	upload_date	title
wS1Gd81vvls	20260509	【#生スバル】おはすば！：FREE TALK【ホロライブ/大空スバル】
235H0fFb8xs	20260506	【Cursed Companions】NGワードを言うと仲間にダメージが入るホラゲーやるしゅばああああああああああああああああああ！！！！！！！！【ホロライブ/大空スバル】
Y1KcVSZK-TA	20260504	【#生スバル】モノマネを…教えてください先生！！！GWモノマネ凸待ちしゅばああああああああああああああああああああ！！！！！！【ホロライブ/大空スバル】
dyqtrZvzWJA	20260430	【#生スバル】トモダチコレクションわくわく生活やるしゅばああああああああああああああああああああ！！！！【ホロライブ/大空スバル】
ttdZdjucW5M	20260422	【#生スバル】みんなでホラゲーやるしゅばああああああああああああああああああああああああああああ！！！：school666【ホロライブ/大空スバル】
xvdF_609r1U	20260408	【#生スバル】バイオハザードRe3やるしゅばあああああああああああああああああああああああああああああああ！！！！！！！：Resident Evil 3【ホロライブ/大空スバル】
ZYMdjOOBUSs	20260322	【#生スバル】LOST JUDGMENT：裁かれざる記憶【※ネタバレあり】
4LUlcWn9DPc	20260317	【#生スバル】ご褒美ぽこあやるしゅばあああああああああああああああああああああああああああああ！！！！：Pokémon Pokopia【ホロライブ/大空スバル】
UNhJTlf1tC0	20260315	【#ホロマリオテニス大会】マリテニ大会本番！！！！優勝目指してがんばるしゅばあああああああああああああああああああ！！！！！！【ホロライブ/大空スバル】
VVZqc09bW5Y	20260314	【#生スバル】おはすば！重大告知あり！：FREE TALK【ホロライブ/大空スバル】
