video_id	upload_date	title
rUwgQP6jOHE	20260503	【 Cursed Companions 】隠されたNGワードを避けながら呪文を唱えてダンジョン攻略するゲーム【星街すいせい / #ほしまちすたじお】
DLZ1GDTKQ9I	20260430	【Shadowverse: Worlds Beyond】新弾が来て右も左もわからないので教えろくださいの会【星街すいせい / #ほしまちすたじお】
4S0B8hbqkd8	20260429	【海外行ってきた】近況報告雑談‼✨【星街すいせい / #ほしまちすたじお】
sWgYODrHk7o	20260408	言いたいことがあるんだよ！やっぱり●●───【星街すいせい】
b-P-wuUEUeQ	20260324	【テトリス99】初心に帰ってテトリスをやろう🎮【星街すいせい】
yDKzhigmlDI	20260323	【雑談】StudioSTELLARの星街すいせいです☄☄☄
rmZIQK5YOnY	20260316	【Poppy Playtime - Chapter 5】おまえ、見覚えがあるぞ。。。【ホロライブ / 星街すいせい】
sUindapbZck	20260314	【ぽこ あ ポケモン】はまりすぎてクリアしてしまったのですが見てください。【ホロライブ / 星街すいせい】
MX4G_JcdZPo	20260221	【チラ見せ】Hoshimachi Suisei Live "SuperNova: REBOOT"
f9bj20V0KHs	20260212	【 Fast Food Simulator 】急に蘇るバーガー店🍔店員募集中【ホロライブ / 星街すいせい】
