video_id	upload_date	title
fXcxf5bQ-B4	20260509	【 悪意 Dread Neighbor 】トラウマ級ホラーゲーム凶寓チームの最新作！！今度こそクリアする・・・！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
5p3DPISYkeA	20260505	【ぷちホロの村 - 剣とお店と田舎暮らし】農業したり探検もできる！スローライフ始めます！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
0d3uw7oMThw	20260502	【PsychoBreak 2/サイコブレイク２】完全初見！精神崩壊大絶叫…【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
NLWhlp3ZQzc	20260430	【 スーパーマリオワールド 】完全初見！初めてのマリオワールドに挑戦！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
lA-xloTnvvM	20260415	【 夜勤清掃 】怖すぎるビルの清掃します・・・！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
K-ZoSsVIelQ	20260412	【 バイオハザードRE4 】初めてのバイオハザードRE4に挑戦！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
H9C19KlWtpo	20260408	【 スーパーマリオブラザーズ3 】完全初見！人生初スーパーマリオブラザーズ3！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
qRhdu_tBeuM	20260329	【 Detroit: Become Human 】超名作！選択が未来を変える！デトロイトビカムヒューマン【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
J6fTfIoHmbM	20260327	【 告知あり！】初めての逆凸待ち…！緊張しています！！！！！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
kHW0QPK_KaY	20260326	【ぽこ あ ポケモン】人生初ポケモン！【#綺々羅々ヴィヴィ #hololiveDEV_IS #FLOWGLOW】
