video_id	upload_date	title
fzLjFXgHZNk	20260510	【 R.E.P.O. 】アプデが来た！コスメティックというものがあるらしい！【角巻わため/ホロライブ４期生】
g8ulCCpc6WU	20260507	【雑談＆お礼】金ビキニの次は何ビキニが来るんだろう？？【角巻わため/ホロライブ４期生】
2xyaIHRQIaI	20260506	【 Cursed Companions 】NGワードを言ってはいけないよ、絶対だよ【角巻わため/ホロライブ４期生】
DQu1OVL7Bfs	20260428	【 クロノ・トリガー 】完全初見！マルチエンド回収行くか...？！（ED3～ED5まで回収） #番外編1【角巻わため/ホロライブ４期生】※ネタバレあり
eyMNTLaE-Kg	20260426	【 ぷちホロの村 - 剣とお店と田舎暮らし 】このゲームをプレイする夢を見たんだ【角巻わため/ホロライブ４期生】
Fn1x0ifIWFU	20260423	【 トモダチコレクション わくわく生活 】初めてのトモコレ生活！！！【角巻わため/ホロライブ４期生】
lHB9hYMAsAA	20260419	【雑談＆お礼】お茶を飲んでる羊の性格は、なーんだ！！【角巻わため/ホロライブ４期生】
ecVHurHPUds	20260413	【雑談＆お礼】お話しよ～～～～～～～～～～～～～～！！！【角巻わため/ホロライブ４期生】
a5fT_ELh1C0	20260404	【雑談＆お礼】今週もお疲れ様でした！喉の調子が悪い日は町田商店に限る🍜【角巻わため/ホロライブ４期生】
EztGtd0z5ow	20260403	【 クロノ・トリガー 】完全初見！ついに名作に触れるひつじ... #1【角巻わため/ホロライブ４期生】※ネタバレあり
